id,quality_attribute,keyword,matched_word,match_idx,sentence,source,author,repo,version,wiki,url
https://github.com/scverse/scanpy/pull/568:51,modifiability,coupl,couple,51,Add issues topic to contributing guidelines; Saw a couple duplicate issues and figured updating the contributing guidelines could help with that. Anything I forgot to mention?,MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/pull/568
https://github.com/scverse/scanpy/pull/568:87,safety,updat,updating,87,Add issues topic to contributing guidelines; Saw a couple duplicate issues and figured updating the contributing guidelines could help with that. Anything I forgot to mention?,MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/pull/568
https://github.com/scverse/scanpy/pull/568:87,security,updat,updating,87,Add issues topic to contributing guidelines; Saw a couple duplicate issues and figured updating the contributing guidelines could help with that. Anything I forgot to mention?,MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/pull/568
https://github.com/scverse/scanpy/pull/568:51,testability,coupl,couple,51,Add issues topic to contributing guidelines; Saw a couple duplicate issues and figured updating the contributing guidelines could help with that. Anything I forgot to mention?,MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/pull/568
https://github.com/scverse/scanpy/pull/568:33,usability,guid,guidelines,33,Add issues topic to contributing guidelines; Saw a couple duplicate issues and figured updating the contributing guidelines could help with that. Anything I forgot to mention?,MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/pull/568
https://github.com/scverse/scanpy/pull/568:113,usability,guid,guidelines,113,Add issues topic to contributing guidelines; Saw a couple duplicate issues and figured updating the contributing guidelines could help with that. Anything I forgot to mention?,MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/pull/568
https://github.com/scverse/scanpy/pull/568:130,usability,help,help,130,Add issues topic to contributing guidelines; Saw a couple duplicate issues and figured updating the contributing guidelines could help with that. Anything I forgot to mention?,MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/pull/568
https://github.com/scverse/scanpy/issues/569:37,availability,slo,slowly,37,"sc.pl.rank_genes_groups_heatmap runs slowly; Dear,. I used sc.pl.rank_genes_groups_heatmap(adata) to create a heatmap of top100 marker genes of 8,000 cells, 4 clusters, but it ran slowly, about 30 times slowers than seurat's Doheatmap(). Could you modify it to accelerate the process ?",MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/issues/569
https://github.com/scverse/scanpy/issues/569:159,availability,cluster,clusters,159,"sc.pl.rank_genes_groups_heatmap runs slowly; Dear,. I used sc.pl.rank_genes_groups_heatmap(adata) to create a heatmap of top100 marker genes of 8,000 cells, 4 clusters, but it ran slowly, about 30 times slowers than seurat's Doheatmap(). Could you modify it to accelerate the process ?",MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/issues/569
https://github.com/scverse/scanpy/issues/569:180,availability,slo,slowly,180,"sc.pl.rank_genes_groups_heatmap runs slowly; Dear,. I used sc.pl.rank_genes_groups_heatmap(adata) to create a heatmap of top100 marker genes of 8,000 cells, 4 clusters, but it ran slowly, about 30 times slowers than seurat's Doheatmap(). Could you modify it to accelerate the process ?",MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/issues/569
https://github.com/scverse/scanpy/issues/569:203,availability,slo,slowers,203,"sc.pl.rank_genes_groups_heatmap runs slowly; Dear,. I used sc.pl.rank_genes_groups_heatmap(adata) to create a heatmap of top100 marker genes of 8,000 cells, 4 clusters, but it ran slowly, about 30 times slowers than seurat's Doheatmap(). Could you modify it to accelerate the process ?",MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/issues/569
https://github.com/scverse/scanpy/issues/569:159,deployability,cluster,clusters,159,"sc.pl.rank_genes_groups_heatmap runs slowly; Dear,. I used sc.pl.rank_genes_groups_heatmap(adata) to create a heatmap of top100 marker genes of 8,000 cells, 4 clusters, but it ran slowly, about 30 times slowers than seurat's Doheatmap(). Could you modify it to accelerate the process ?",MatchSource.ISSUE,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/issues/569
