id,quality_attribute,keyword,matched_word,match_idx,sentence,source,author,repo,version,wiki,url
https://github.com/root-project/root/pull/6897:98,performance,error,error,98,"Fix autoloading for the `namespace ROOT::Internal::RDF::GraphDrawing`; . This fixes the following error when running (for example) tmva004_RStandardScaler.C:. ```. IncrementalExecutor::executeFunction: symbol '?AddDefinesToGraph@GraphDrawing@RDF@Internal@ROOT@@YA?AV?$shared_ptr@VGraphNode@GraphDrawing@RDF@Internal@ROOT@@@std@@V56@ABVRBookedDefines@234@ABV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@6@@Z' unresolved while linking function '??__Eid@?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@2V0locale@2@A@YAXXZcling_module_12_'! You are probably missing the definition of class std::shared_ptr<class ROOT::Internal::RDF::GraphDrawing::GraphNode> __cdecl ROOT::Internal::RDF::GraphDrawing::AddDefinesToGraph(class std::shared_ptr<class ROOT::Internal::RDF::GraphDrawing::GraphNode>,class ROOT::Internal::RDF::RBookedDefines const &,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > const &). Maybe you need to load the corresponding shared library? ```",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6897
https://github.com/root-project/root/pull/6897:1213,performance,load,load,1213,"Fix autoloading for the `namespace ROOT::Internal::RDF::GraphDrawing`; . This fixes the following error when running (for example) tmva004_RStandardScaler.C:. ```. IncrementalExecutor::executeFunction: symbol '?AddDefinesToGraph@GraphDrawing@RDF@Internal@ROOT@@YA?AV?$shared_ptr@VGraphNode@GraphDrawing@RDF@Internal@ROOT@@@std@@V56@ABVRBookedDefines@234@ABV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@6@@Z' unresolved while linking function '??__Eid@?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@2V0locale@2@A@YAXXZcling_module_12_'! You are probably missing the definition of class std::shared_ptr<class ROOT::Internal::RDF::GraphDrawing::GraphNode> __cdecl ROOT::Internal::RDF::GraphDrawing::AddDefinesToGraph(class std::shared_ptr<class ROOT::Internal::RDF::GraphDrawing::GraphNode>,class ROOT::Internal::RDF::RBookedDefines const &,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > const &). Maybe you need to load the corresponding shared library? ```",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6897
https://github.com/root-project/root/pull/6897:98,safety,error,error,98,"Fix autoloading for the `namespace ROOT::Internal::RDF::GraphDrawing`; . This fixes the following error when running (for example) tmva004_RStandardScaler.C:. ```. IncrementalExecutor::executeFunction: symbol '?AddDefinesToGraph@GraphDrawing@RDF@Internal@ROOT@@YA?AV?$shared_ptr@VGraphNode@GraphDrawing@RDF@Internal@ROOT@@@std@@V56@ABVRBookedDefines@234@ABV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@6@@Z' unresolved while linking function '??__Eid@?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@2V0locale@2@A@YAXXZcling_module_12_'! You are probably missing the definition of class std::shared_ptr<class ROOT::Internal::RDF::GraphDrawing::GraphNode> __cdecl ROOT::Internal::RDF::GraphDrawing::AddDefinesToGraph(class std::shared_ptr<class ROOT::Internal::RDF::GraphDrawing::GraphNode>,class ROOT::Internal::RDF::RBookedDefines const &,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > const &). Maybe you need to load the corresponding shared library? ```",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6897
https://github.com/root-project/root/pull/6897:98,usability,error,error,98,"Fix autoloading for the `namespace ROOT::Internal::RDF::GraphDrawing`; . This fixes the following error when running (for example) tmva004_RStandardScaler.C:. ```. IncrementalExecutor::executeFunction: symbol '?AddDefinesToGraph@GraphDrawing@RDF@Internal@ROOT@@YA?AV?$shared_ptr@VGraphNode@GraphDrawing@RDF@Internal@ROOT@@@std@@V56@ABVRBookedDefines@234@ABV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@6@@Z' unresolved while linking function '??__Eid@?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@2V0locale@2@A@YAXXZcling_module_12_'! You are probably missing the definition of class std::shared_ptr<class ROOT::Internal::RDF::GraphDrawing::GraphNode> __cdecl ROOT::Internal::RDF::GraphDrawing::AddDefinesToGraph(class std::shared_ptr<class ROOT::Internal::RDF::GraphDrawing::GraphNode>,class ROOT::Internal::RDF::RBookedDefines const &,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > const &). Maybe you need to load the corresponding shared library? ```",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6897
https://github.com/root-project/root/pull/6898:246,integrability,sub,sub-NLL,246,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:296,integrability,compon,component,296,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:368,integrability,compon,component,368,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:408,integrability,compon,components,408,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:296,interoperability,compon,component,296,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:368,interoperability,compon,component,368,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:408,interoperability,compon,components,408,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:39,modifiability,exten,extendMode,39,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:71,modifiability,exten,extend,71,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:182,modifiability,exten,extended,182,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:213,modifiability,exten,extended,213,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
https://github.com/root-project/root/pull/6898:296,modifiability,compon,component,296,Fix implementation of RooSimultaneous::extendMode(); For returning the extend mode examine all the pdf in the list and. flag as CanExtend or MustExtend if just one of the pdf can be extended. Fix also passing the extended flags when creating the sub-NLL in RooNLLVar::create(). If one of the sim component cannot be extended then switch off the extended flag for that component. Before it was passed for all components. This fixes issue #6894,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/6898
