id,quality_attribute,keyword,matched_word,match_idx,sentence,source,author,repo,version,wiki,url
https://github.com/root-project/root/pull/16179:47,availability,operat,operators,47,[hist] Add some `const` keywords to arithmetic operators; Closes https://its.cern.ch/jira/browse/ROOT-9297.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/16179
https://github.com/root-project/root/pull/16179:58,usability,Close,Closes,58,[hist] Add some `const` keywords to arithmetic operators; Closes https://its.cern.ch/jira/browse/ROOT-9297.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/16179
https://github.com/root-project/root/pull/16180:42,deployability,API,API,42,[PyROOT] Add Sequence_Check to the public API; This PR fixes https://github.com/root-project/root/issues/15161. Applying the following commit from CPyCppyy upstream:. https://github.com/wlav/CPyCppyy/commit/a02ceeb. Adds a Sequence_Check which does not pass objects not supporting indexing.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/16180
https://github.com/root-project/root/pull/16180:35,integrability,pub,public,35,[PyROOT] Add Sequence_Check to the public API; This PR fixes https://github.com/root-project/root/issues/15161. Applying the following commit from CPyCppyy upstream:. https://github.com/wlav/CPyCppyy/commit/a02ceeb. Adds a Sequence_Check which does not pass objects not supporting indexing.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/16180
https://github.com/root-project/root/pull/16180:42,integrability,API,API,42,[PyROOT] Add Sequence_Check to the public API; This PR fixes https://github.com/root-project/root/issues/15161. Applying the following commit from CPyCppyy upstream:. https://github.com/wlav/CPyCppyy/commit/a02ceeb. Adds a Sequence_Check which does not pass objects not supporting indexing.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/16180
https://github.com/root-project/root/pull/16180:42,interoperability,API,API,42,[PyROOT] Add Sequence_Check to the public API; This PR fixes https://github.com/root-project/root/issues/15161. Applying the following commit from CPyCppyy upstream:. https://github.com/wlav/CPyCppyy/commit/a02ceeb. Adds a Sequence_Check which does not pass objects not supporting indexing.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/16180
https://github.com/root-project/root/pull/16180:244,reliability,doe,does,244,[PyROOT] Add Sequence_Check to the public API; This PR fixes https://github.com/root-project/root/issues/15161. Applying the following commit from CPyCppyy upstream:. https://github.com/wlav/CPyCppyy/commit/a02ceeb. Adds a Sequence_Check which does not pass objects not supporting indexing.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/16180
https://github.com/root-project/root/pull/16180:270,usability,support,supporting,270,[PyROOT] Add Sequence_Check to the public API; This PR fixes https://github.com/root-project/root/issues/15161. Applying the following commit from CPyCppyy upstream:. https://github.com/wlav/CPyCppyy/commit/a02ceeb. Adds a Sequence_Check which does not pass objects not supporting indexing.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/16180
https://github.com/root-project/root/issues/16182:968,availability,Operat,Operating,968,missing include in root/roofitstats/vectorisedPDFs/VectorisedPDFTests.cxx; ### Check duplicate issues. - [X] Checked for duplicates. ### Description. The file . ```root/roofitstats/vectorisedPDFs/VectorisedPDFTests.cxx```. is missing a. ```#include <iomanip>```. ### Reproducer. checkout out master on latest archlinux and attempt to compile with. ```. cmake ../src -DCMAKE_BUILD_TYPE=RelWithDebInfo -Droofit=on -Dmysql=off -Dpgsql=off -Droostats=on -Dfortran=off -Dhistfactory=on -Dtmva=on -Droottest=on -Droot7=on -Dtesting=on -Dbuiltin_llvm=on -Dbuiltin_tbb=off -Dbuiltin_nlohmannjson=on -DCMAKE_CXX_STANDARD=17 -DPYTHON_EXECUTABLE=$(which python) -Dfail-on-missing=on -Doracle=off -Dpythia6=off -Dpythia8=off -Dgfal=off -Dvdt=off -Ddavix=off -Droofit_hs3_yml=ON -Droofit_multiprocess=ON -Dbuiltin_zeromq=ON -Dbuiltin_cppzmq=ON -DxRooFit=on. #-DCMAKE_PREFIX_PATH=/home/cburgard/Physics/root/zmq . ```. ### ROOT version. master. ### Installation method. source. ### Operating system. archlinux. ### Additional context. _No response_,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/issues/16182
https://github.com/root-project/root/issues/16182:914,deployability,version,version,914,missing include in root/roofitstats/vectorisedPDFs/VectorisedPDFTests.cxx; ### Check duplicate issues. - [X] Checked for duplicates. ### Description. The file . ```root/roofitstats/vectorisedPDFs/VectorisedPDFTests.cxx```. is missing a. ```#include <iomanip>```. ### Reproducer. checkout out master on latest archlinux and attempt to compile with. ```. cmake ../src -DCMAKE_BUILD_TYPE=RelWithDebInfo -Droofit=on -Dmysql=off -Dpgsql=off -Droostats=on -Dfortran=off -Dhistfactory=on -Dtmva=on -Droottest=on -Droot7=on -Dtesting=on -Dbuiltin_llvm=on -Dbuiltin_tbb=off -Dbuiltin_nlohmannjson=on -DCMAKE_CXX_STANDARD=17 -DPYTHON_EXECUTABLE=$(which python) -Dfail-on-missing=on -Doracle=off -Dpythia6=off -Dpythia8=off -Dgfal=off -Dvdt=off -Ddavix=off -Droofit_hs3_yml=ON -Droofit_multiprocess=ON -Dbuiltin_zeromq=ON -Dbuiltin_cppzmq=ON -DxRooFit=on. #-DCMAKE_PREFIX_PATH=/home/cburgard/Physics/root/zmq . ```. ### ROOT version. master. ### Installation method. source. ### Operating system. archlinux. ### Additional context. _No response_,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/issues/16182
https://github.com/root-project/root/issues/16182:935,deployability,Instal,Installation,935,missing include in root/roofitstats/vectorisedPDFs/VectorisedPDFTests.cxx; ### Check duplicate issues. - [X] Checked for duplicates. ### Description. The file . ```root/roofitstats/vectorisedPDFs/VectorisedPDFTests.cxx```. is missing a. ```#include <iomanip>```. ### Reproducer. checkout out master on latest archlinux and attempt to compile with. ```. cmake ../src -DCMAKE_BUILD_TYPE=RelWithDebInfo -Droofit=on -Dmysql=off -Dpgsql=off -Droostats=on -Dfortran=off -Dhistfactory=on -Dtmva=on -Droottest=on -Droot7=on -Dtesting=on -Dbuiltin_llvm=on -Dbuiltin_tbb=off -Dbuiltin_nlohmannjson=on -DCMAKE_CXX_STANDARD=17 -DPYTHON_EXECUTABLE=$(which python) -Dfail-on-missing=on -Doracle=off -Dpythia6=off -Dpythia8=off -Dgfal=off -Dvdt=off -Ddavix=off -Droofit_hs3_yml=ON -Droofit_multiprocess=ON -Dbuiltin_zeromq=ON -Dbuiltin_cppzmq=ON -DxRooFit=on. #-DCMAKE_PREFIX_PATH=/home/cburgard/Physics/root/zmq . ```. ### ROOT version. master. ### Installation method. source. ### Operating system. archlinux. ### Additional context. _No response_,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/issues/16182
