id,quality_attribute,keyword,matched_word,match_idx,sentence,source,author,repo,version,wiki,url
https://github.com/root-project/root/pull/712:89,deployability,patch,patches,89,cling PR 158; https://github.com/root-project/cling/pull/158. NOTE: must apply textinput patches directly to cling.git.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/712
https://github.com/root-project/root/pull/712:89,safety,patch,patches,89,cling PR 158; https://github.com/root-project/cling/pull/158. NOTE: must apply textinput patches directly to cling.git.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/712
https://github.com/root-project/root/pull/712:89,security,patch,patches,89,cling PR 158; https://github.com/root-project/cling/pull/158. NOTE: must apply textinput patches directly to cling.git.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/712
https://github.com/root-project/root/pull/713:309,deployability,log,logic,309,"[TDF] Correctly count number of children nodes in second/third... usages of a TDF; Formerly the children count of each node was not reset after the first event loop,. with the consequence that the event loop would never be quit early, even if all ranges had been exhausted. Some changes to the children count logic were necessary to correctly handle all cases.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/713
https://github.com/root-project/root/pull/713:154,integrability,event,event,154,"[TDF] Correctly count number of children nodes in second/third... usages of a TDF; Formerly the children count of each node was not reset after the first event loop,. with the consequence that the event loop would never be quit early, even if all ranges had been exhausted. Some changes to the children count logic were necessary to correctly handle all cases.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/713
https://github.com/root-project/root/pull/713:197,integrability,event,event,197,"[TDF] Correctly count number of children nodes in second/third... usages of a TDF; Formerly the children count of each node was not reset after the first event loop,. with the consequence that the event loop would never be quit early, even if all ranges had been exhausted. Some changes to the children count logic were necessary to correctly handle all cases.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/713
https://github.com/root-project/root/pull/713:309,safety,log,logic,309,"[TDF] Correctly count number of children nodes in second/third... usages of a TDF; Formerly the children count of each node was not reset after the first event loop,. with the consequence that the event loop would never be quit early, even if all ranges had been exhausted. Some changes to the children count logic were necessary to correctly handle all cases.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/713
https://github.com/root-project/root/pull/713:309,security,log,logic,309,"[TDF] Correctly count number of children nodes in second/third... usages of a TDF; Formerly the children count of each node was not reset after the first event loop,. with the consequence that the event loop would never be quit early, even if all ranges had been exhausted. Some changes to the children count logic were necessary to correctly handle all cases.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/713
https://github.com/root-project/root/pull/713:309,testability,log,logic,309,"[TDF] Correctly count number of children nodes in second/third... usages of a TDF; Formerly the children count of each node was not reset after the first event loop,. with the consequence that the event loop would never be quit early, even if all ranges had been exhausted. Some changes to the children count logic were necessary to correctly handle all cases.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/713
https://github.com/root-project/root/pull/714:263,deployability,fail,fails,263,"Allow setting a custom ASTConsumer in CIFactory (NFC).; So far we create our DeclCollector in the CIFactory and then tried to. get this variable back in the IncrementalParser by casting the. ASTConsumer of our compiler instance to a DeclCollector. This strategy. fails as soon as we want to have multiple collectors and start using. the clang multiplexer as this call will now fail (e.g. in this case to. have another ASTConsumer that looks in the C++ modules case for what. libraries we need to link - and the best way to add this is via. the multiplexed ASTConsumer that clang provides). This patch moves the responsibility for the DeclCollector to the. caller that relies on getting a DeclCollector back, which is in this. case the constructor of IncrementalParser.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/714
https://github.com/root-project/root/pull/714:377,deployability,fail,fail,377,"Allow setting a custom ASTConsumer in CIFactory (NFC).; So far we create our DeclCollector in the CIFactory and then tried to. get this variable back in the IncrementalParser by casting the. ASTConsumer of our compiler instance to a DeclCollector. This strategy. fails as soon as we want to have multiple collectors and start using. the clang multiplexer as this call will now fail (e.g. in this case to. have another ASTConsumer that looks in the C++ modules case for what. libraries we need to link - and the best way to add this is via. the multiplexed ASTConsumer that clang provides). This patch moves the responsibility for the DeclCollector to the. caller that relies on getting a DeclCollector back, which is in this. case the constructor of IncrementalParser.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/714
https://github.com/root-project/root/pull/714:452,deployability,modul,modules,452,"Allow setting a custom ASTConsumer in CIFactory (NFC).; So far we create our DeclCollector in the CIFactory and then tried to. get this variable back in the IncrementalParser by casting the. ASTConsumer of our compiler instance to a DeclCollector. This strategy. fails as soon as we want to have multiple collectors and start using. the clang multiplexer as this call will now fail (e.g. in this case to. have another ASTConsumer that looks in the C++ modules case for what. libraries we need to link - and the best way to add this is via. the multiplexed ASTConsumer that clang provides). This patch moves the responsibility for the DeclCollector to the. caller that relies on getting a DeclCollector back, which is in this. case the constructor of IncrementalParser.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/714
https://github.com/root-project/root/pull/714:595,deployability,patch,patch,595,"Allow setting a custom ASTConsumer in CIFactory (NFC).; So far we create our DeclCollector in the CIFactory and then tried to. get this variable back in the IncrementalParser by casting the. ASTConsumer of our compiler instance to a DeclCollector. This strategy. fails as soon as we want to have multiple collectors and start using. the clang multiplexer as this call will now fail (e.g. in this case to. have another ASTConsumer that looks in the C++ modules case for what. libraries we need to link - and the best way to add this is via. the multiplexed ASTConsumer that clang provides). This patch moves the responsibility for the DeclCollector to the. caller that relies on getting a DeclCollector back, which is in this. case the constructor of IncrementalParser.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/714
