id,quality_attribute,keyword,matched_word,match_idx,sentence,source,author,repo,version,wiki,url
https://github.com/root-project/root/pull/2667:71,security,model,models,71,[DF] ROOT-9692: Properly consider custom binning when using TProfile2D models;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2667
https://github.com/root-project/root/pull/2667:34,usability,custom,custom,34,[DF] ROOT-9692: Properly consider custom binning when using TProfile2D models;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2667
https://github.com/root-project/root/pull/2668:30,availability,error,error,30,Remove duplicated header; Fix error: redefinition of module 'TSAXParser.h' for cxxmodules,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2668
https://github.com/root-project/root/pull/2668:53,deployability,modul,module,53,Remove duplicated header; Fix error: redefinition of module 'TSAXParser.h' for cxxmodules,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2668
https://github.com/root-project/root/pull/2668:53,modifiability,modul,module,53,Remove duplicated header; Fix error: redefinition of module 'TSAXParser.h' for cxxmodules,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2668
https://github.com/root-project/root/pull/2668:30,performance,error,error,30,Remove duplicated header; Fix error: redefinition of module 'TSAXParser.h' for cxxmodules,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2668
https://github.com/root-project/root/pull/2668:30,safety,error,error,30,Remove duplicated header; Fix error: redefinition of module 'TSAXParser.h' for cxxmodules,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2668
https://github.com/root-project/root/pull/2668:53,safety,modul,module,53,Remove duplicated header; Fix error: redefinition of module 'TSAXParser.h' for cxxmodules,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2668
https://github.com/root-project/root/pull/2668:30,usability,error,error,30,Remove duplicated header; Fix error: redefinition of module 'TSAXParser.h' for cxxmodules,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2668
https://github.com/root-project/root/pull/2669:21,interoperability,format,format,21,[Tree] Modernise and format copy tree tutorials;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2669
https://github.com/root-project/root/pull/2670:6,deployability,Updat,Update,6,[DOC] Update RDF release notes with new name `SaveGraph` for method;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2670
https://github.com/root-project/root/pull/2670:17,deployability,releas,release,17,[DOC] Update RDF release notes with new name `SaveGraph` for method;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2670
https://github.com/root-project/root/pull/2670:6,safety,Updat,Update,6,[DOC] Update RDF release notes with new name `SaveGraph` for method;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2670
https://github.com/root-project/root/pull/2670:6,security,Updat,Update,6,[DOC] Update RDF release notes with new name `SaveGraph` for method;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2670
https://github.com/root-project/root/pull/2671:4,usability,support,support,4,Add support for interrupting execution with ^C; https://github.com/root-project/cling/pull/245.,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2671
https://github.com/root-project/root/pull/2673:0,deployability,Build,Build,0,Build system updates;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2673
https://github.com/root-project/root/pull/2673:13,deployability,updat,updates,13,Build system updates;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2673
https://github.com/root-project/root/pull/2673:13,safety,updat,updates,13,Build system updates;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2673
https://github.com/root-project/root/pull/2673:13,security,updat,updates,13,Build system updates;,MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2673
https://github.com/root-project/root/pull/2675:107,interoperability,specif,specific,107,"[cling] Use TLS for pointer check cache:; With 16 threads, the cache is simply too small. These are thread specific values anyway.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2675
https://github.com/root-project/root/pull/2675:34,performance,cach,cache,34,"[cling] Use TLS for pointer check cache:; With 16 threads, the cache is simply too small. These are thread specific values anyway.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2675
https://github.com/root-project/root/pull/2675:63,performance,cach,cache,63,"[cling] Use TLS for pointer check cache:; With 16 threads, the cache is simply too small. These are thread specific values anyway.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2675
https://github.com/root-project/root/pull/2675:72,testability,simpl,simply,72,"[cling] Use TLS for pointer check cache:; With 16 threads, the cache is simply too small. These are thread specific values anyway.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2675
https://github.com/root-project/root/pull/2675:72,usability,simpl,simply,72,"[cling] Use TLS for pointer check cache:; With 16 threads, the cache is simply too small. These are thread specific values anyway.",MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2675
https://github.com/root-project/root/pull/2676:14,energy efficiency,load,load,14,[gpadv7] Only load pointer lib once.; (cherry picked from commit 9482a9e0e4459e783700cb916e77248fa373e41b),MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2676
https://github.com/root-project/root/pull/2676:14,performance,load,load,14,[gpadv7] Only load pointer lib once.; (cherry picked from commit 9482a9e0e4459e783700cb916e77248fa373e41b),MatchSource.ISSUE,root-project,root,v6-32-06,https://root.cern,https://github.com/root-project/root/pull/2676
