quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,filename,wiki,url,total_similar,target_keywords,target_matched_words
Availability,# check availability of e-mail senders,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py:8,avail,availability,8,lib/zstd/tests/test-zstd-speed.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py,1,['avail'],['availability']
Availability,"# sys.stderr.close() # remove error message, for Ctrl+C",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/rateLimiter.py:30,error,error,30,lib/zstd/tests/rateLimiter.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/rateLimiter.py,1,['error'],['error']
Deployability,# Build all release zstd,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py:12,release,release,12,lib/zstd/tests/test-zstd-versions.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py,1,['release'],['release']
Deployability,# Retrieve all release tags,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py:15,release,release,15,lib/zstd/tests/test-zstd-versions.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py,1,['release'],['release']
Integrability,"""""""Test zstd interoperability between versions""""""",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py:13,interoperab,interoperability,13,lib/zstd/tests/test-zstd-versions.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py,1,['interoperab'],['interoperability']
Integrability,"# sys.stderr.close() # remove error message, for Ctrl+C",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/rateLimiter.py:36,message,message,36,lib/zstd/tests/rateLimiter.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/rateLimiter.py,1,['message'],['message']
Modifiability,"""""""; Cleans the repository and builds a fuzz target (or all).; Many flags default to environment variables (default says $X='y').; Options that aren't enabling features default to the correct values for; zstd.; Enable sanitizers with --enable-*san.; For regression testing just build.; For libFuzzer set LIB_FUZZING_ENGINE and pass --enable-coverage.; For AFL set CC and CXX to AFL's compilers and set; LIB_FUZZING_ENGINE='libregression.a'.; """"""",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:97,variab,variables,97,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['variab'],['variables']
Modifiability,"""""""; Look for flags set by environment variables.; """"""",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:39,variab,variables,39,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['variab'],['variables']
Modifiability,"""""""; Runs an afl-fuzz job.; Passes all extra arguments to afl-fuzz.; The fuzzer should have been built with CC/CXX set to the AFL compilers,; and with LIB_FUZZING_ENGINE='libregression.a'.; Takes input from CORPORA and writes output to OUTPUT.; Uses AFL_FUZZ as the binary (set from flag or environment variable).; """"""",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:303,variab,variable,303,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['variab'],['variable']
Modifiability,# Fuzzing environment variables,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:22,variab,variables,22,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['variab'],['variables']
Modifiability,# Sanitizer environment variables,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:24,variab,variables,24,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['variab'],['variables']
Modifiability,# Standard environment variables,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:23,variab,variables,23,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['variab'],['variables']
Security,"""""""; Cleans the repository and builds a fuzz target (or all).; Many flags default to environment variables (default says $X='y').; Options that aren't enabling features default to the correct values for; zstd.; Enable sanitizers with --enable-*san.; For regression testing just build.; For libFuzzer set LIB_FUZZING_ENGINE and pass --enable-coverage.; For AFL set CC and CXX to AFL's compilers and set; LIB_FUZZING_ENGINE='libregression.a'.; """"""",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:218,sanitiz,sanitizers,218,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['sanitiz'],['sanitizers']
Security,# check if dictionary is accessible,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py:25,access,accessible,25,lib/zstd/tests/test-zstd-speed.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py,1,['access'],['accessible']
Security,# check if test files are accessible,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py:26,access,accessible,26,lib/zstd/tests/test-zstd-speed.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py,1,['access'],['accessible']
Testability,"""""""; Cleans the repository and builds a fuzz target (or all).; Many flags default to environment variables (default says $X='y').; Options that aren't enabling features default to the correct values for; zstd.; Enable sanitizers with --enable-*san.; For regression testing just build.; For libFuzzer set LIB_FUZZING_ENGINE and pass --enable-coverage.; For AFL set CC and CXX to AFL's compilers and set; LIB_FUZZING_ENGINE='libregression.a'.; """"""",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:265,test,testing,265,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['test'],['testing']
Testability,"""""""; Runs one or more regression tests.; The fuzzer should have been built with with; LIB_FUZZING_ENGINE='libregression.a'.; Takes input from CORPORA.; """"""",MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py:33,test,tests,33,lib/zstd/tests/fuzz/fuzz.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/fuzz/fuzz.py,1,['test'],['tests']
Testability,# /path/to/zstd/tests/speedTest,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py:16,test,tests,16,lib/zstd/tests/test-zstd-speed.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py,1,['test'],['tests']
Testability,# /path/to/zstd/tests/speedTest/zstd,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py:16,test,tests,16,lib/zstd/tests/test-zstd-speed.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-speed.py,1,['test'],['tests']
Testability,# /path/to/zstd/tests/versionsTest,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py:16,test,tests,16,lib/zstd/tests/test-zstd-versions.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py,1,['test'],['tests']
Testability,# /path/to/zstd/tests/versionsTest/<TAG>,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py:16,test,tests,16,lib/zstd/tests/test-zstd-versions.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py,1,['test'],['tests']
Testability,# /path/to/zstd/tests/versionsTest/<TAG>/programs,MatchSource.CODE_COMMENT,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py:16,test,tests,16,lib/zstd/tests/test-zstd-versions.py,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/MMseqs2/tree/15-6f452/lib/zstd/tests/test-zstd-versions.py,1,['test'],['tests']
