quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,wiki,url,total_similar,target_keywords,target_matched_words
Integrability,Fix to avoid redefinition of injected value of macro in test stressTMVA. Visible for C++ module build for Clang 8.0.0:. In file included from <module-includes>:26: ../build/include/TMVA/MethodDNN.h:56:9: warning: 'DNNCPU' macro redefined [-Wmacro-redefined]. #define DNNCPU. While building module 'TMVA' imported from /.../root/test/stressTMVA.cxx:70: In file included from <built-in>:379:; #define DNNCPU 1,MatchSource.ISSUE,root-project,root,v6-32-06,https://github.com/root-project/root/pull/2598:29,inject,injected,29,https://root.cern,https://github.com/root-project/root/pull/2598,1,['inject'],['injected']
Integrability,Fix to avoid redefinition of injected value of macro in test stressTMVA. Visible for C++ module build for Clang 8.0.0:; ```; In file included from <module-includes>:26: ../build/include/TMVA/MethodDNN.h:56:9: warning: 'DNNCPU' macro redefined [-Wmacro-redefined]. #define DNNCPU. While building module 'TMVA' imported from /.../root/test/stressTMVA.cxx:70: In file included from <built-in>:379:; #define DNNCPU 1; ```,MatchSource.ISSUE,root-project,root,v6-32-06,https://github.com/root-project/root/pull/2582:29,inject,injected,29,https://root.cern,https://github.com/root-project/root/pull/2582,1,['inject'],['injected']
Integrability,Fix warning message in THtml,MatchSource.ISSUE,root-project,root,v6-32-06,https://github.com/root-project/root/pull/6689:12,message,message,12,https://root.cern,https://github.com/root-project/root/pull/6689,1,['message'],['message']
Integrability,"Fixed (in theory) the warnings, and moved to using newer style build system (will be integrated with #1680, since there's now some duplication). Uses `MINUIT2_MPI` and `MINUIT2_OMP` instead of environment variables.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/1689#issuecomment-369942972:85,integrat,integrated,85,https://root.cern,https://github.com/root-project/root/pull/1689#issuecomment-369942972,1,['integrat'],['integrated']
Integrability,Fixed Issue reported on ; https://sft.its.cern.ch/jira/browse/ROOT-10755; https://root-forum.cern.ch/t/rootr-root-r-interface-problems-with-x11-graphics/39299,MatchSource.ISSUE,root-project,root,v6-32-06,https://github.com/root-project/root/pull/5608:116,interface,interface-problems-with-,116,https://root.cern,https://github.com/root-project/root/pull/5608,1,['interface'],['interface-problems-with-']
Integrability,"Fixed a faulty loop condition in RooAddModel that lead to a crash in; RoofitUnBinnedBenchmark.; Further, fix the definition of basis functions in RooBMixDecay, which; lead to an info message about not using a parameter in a RooFormulaVar.",MatchSource.ISSUE,root-project,root,v6-32-06,https://github.com/root-project/root/pull/4790:183,message,message,183,https://root.cern,https://github.com/root-project/root/pull/4790,1,['message'],['message']
Integrability,Fixed a typo in the commit message ..,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/5695#issuecomment-633562880:27,message,message,27,https://root.cern,https://github.com/root-project/root/pull/5695#issuecomment-633562880,1,['message'],['message']
Integrability,Fixed dependencies between tests on roostats,MatchSource.ISSUE,root-project,root,v6-32-06,https://github.com/root-project/root/pull/365:6,depend,dependencies,6,https://root.cern,https://github.com/root-project/root/pull/365,1,['depend'],['dependencies']
Integrability,Fixed dependencies for TMVA tutorials,MatchSource.ISSUE,root-project,root,v6-32-06,https://github.com/root-project/root/pull/420:6,depend,dependencies,6,https://root.cern,https://github.com/root-project/root/pull/420,1,['depend'],['dependencies']
Integrability,"Fixed pretty-printing, remaining issues seem related to autoloading:. ```; IncrementalExecutor::executeFunction: symbol '_ZN4ROOT6VecOps15SmallVectorBaseIjE8grow_podEPvmm' unresolved while linking [cling interface function]!; You are probably missing the definition of ROOT::VecOps::SmallVectorBase<unsigned int>::grow_pod(void*, unsigned long, unsigned long); Maybe you need to load the corresponding shared library?; ```. Not sure what's going on on Windows, will have to investigate.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/7502#issuecomment-815646679:204,interface,interface,204,https://root.cern,https://github.com/root-project/root/pull/7502#issuecomment-815646679,1,['interface'],['interface']
