,keyword,false_positive_False,false_positive_True,total,score,adv_score,total_score
14,bridg,1,1,2,0.0,0.0,4
83,portab,1,0,1,1.0,0.8465735902799727,4
95,refactor,6,17,23,-0.4782608695652174,-1.3502088183170187,2
66,maintainab,1,3,4,-0.5,-0.6772588722239782,0
7,audit,0,1,1,-1.0,-0.5,-2
16,canary,0,1,1,-1.0,-0.5,-2
33,downtime,0,1,1,-1.0,-0.5,-2
44,fail-safe,0,1,1,-1.0,-0.5,-2
48,firewall,0,1,1,-1.0,-0.5,-2
90,reboot,0,1,1,-1.0,-0.5,-2
106,rollout,0,1,1,-1.0,-0.5,-2
119,threat,0,1,1,-1.0,-0.5,-2
120,throttle,0,1,1,-1.0,-0.5,-2
20,checksum,0,2,2,-1.0,-0.6666666666666666,-4
58,interlock,0,2,2,-1.0,-0.6666666666666666,-4
70,meter,0,2,2,-1.0,-0.6666666666666666,-4
104,rollback,0,2,2,-1.0,-0.6666666666666666,-4
116,sustainab,0,2,2,-1.0,-0.6666666666666666,-4
121,throughput,0,2,2,-1.0,-0.6666666666666666,-4
99,responsiv,2,9,11,-0.6363636363636364,-1.2241905017230643,-6
131,user experience,2,9,11,-0.6363636363636364,-1.2241905017230643,-6
13,bottleneck,1,6,7,-0.7142857142857143,-1.0582169878499659,-6
61,latency,1,6,7,-0.7142857142857143,-1.0582169878499659,-6
34,drain,0,3,3,-1.0,-0.75,-6
59,interoperab,0,3,3,-1.0,-0.75,-6
89,race condition,0,3,3,-1.0,-0.75,-6
117,synchroniz,0,3,3,-1.0,-0.75,-6
113,secur,2,10,12,-0.6666666666666666,-1.2914537161034523,-8
37,encrypt,0,4,4,-1.0,-0.8,-8
100,resume,0,4,4,-1.0,-0.8,-8
127,unsafe,0,4,4,-1.0,-0.8,-8
9,authoriz,0,5,5,-1.0,-0.8333333333333334,-10
25,consumption,0,5,5,-1.0,-0.8333333333333334,-10
98,resilien,0,5,5,-1.0,-0.8333333333333334,-10
105,rolling,0,5,5,-1.0,-0.8333333333333334,-10
53,inherit,3,15,18,-0.6666666666666666,-1.5071332807072995,-12
8,authenticat,2,12,14,-0.7142857142857143,-1.3990748591120732,-12
17,certificate,1,9,10,-0.8,-1.2313797676799603,-12
75,password,1,9,10,-0.8,-1.2313797676799603,-12
87,protocol,1,9,10,-0.8,-1.2313797676799603,-12
6,attack,0,6,6,-1.0,-0.8571428571428571,-12
71,mock,0,6,6,-1.0,-0.8571428571428571,-12
79,ping,0,6,6,-1.0,-0.8571428571428571,-12
109,sandbox,0,6,6,-1.0,-0.8571428571428571,-12
49,flexible,8,31,39,-0.5897435897435898,-1.8384041319683262,-14
82,polymorphi,0,7,7,-1.0,-0.875,-14
132,user-friendly,0,7,7,-1.0,-0.875,-14
81,plugin,2,14,16,-0.75,-1.481373380236313,-16
0,UX,0,8,8,-1.0,-0.8888888888888888,-16
54,inject,0,8,8,-1.0,-0.8888888888888888,-16
77,pause,0,8,8,-1.0,-0.8888888888888888,-16
88,queue,0,8,8,-1.0,-0.8888888888888888,-16
97,reliab,0,8,8,-1.0,-0.8888888888888888,-16
115,stub,0,8,8,-1.0,-0.8888888888888888,-16
125,tune,0,8,8,-1.0,-0.8888888888888888,-16
46,fault,0,9,9,-1.0,-0.9,-18
110,sanity check,0,9,9,-1.0,-0.9,-18
1,abort,0,10,10,-1.0,-0.9090909090909091,-20
103,robust,0,10,10,-1.0,-0.9090909090909091,-20
101,rewrite,2,17,19,-0.7894736842105263,-1.5739592165010825,-22
50,green,0,12,12,-1.0,-0.9230769230769231,-24
67,mainten,0,14,14,-1.0,-0.9333333333333333,-28
91,recover,0,14,14,-1.0,-0.9333333333333333,-28
102,risk,0,14,14,-1.0,-0.9333333333333333,-28
129,upgrade,0,16,16,-1.0,-0.9411764705882353,-32
39,enhance,5,32,37,-0.7297297297297297,-1.9836185702409863,-34
133,validat,1,20,21,-0.9047619047619048,-1.462263474119953,-34
27,contract,0,17,17,-1.0,-0.9444444444444444,-34
19,checkpoint,0,18,18,-1.0,-0.9473684210526315,-36
35,echo,0,19,19,-1.0,-0.95,-38
111,scalab,0,19,19,-1.0,-0.95,-38
4,allocate,0,21,21,-1.0,-0.9545454545454546,-42
94,redundant,0,23,23,-1.0,-0.9583333333333334,-46
126,undo,1,27,28,-0.9285714285714286,-1.5179940239502958,-48
62,layers,4,37,41,-0.8048780487804879,-2.050272645483936,-50
93,redund,0,25,25,-1.0,-0.9615384615384616,-50
74,parameteriz,0,28,28,-1.0,-0.9655172413793104,-56
30,deploy,4,43,47,-0.8297872340425532,-2.1201683038527066,-62
45,failure,0,35,35,-1.0,-0.9722222222222222,-70
130,usab,0,35,35,-1.0,-0.9722222222222222,-70
60,intuit,3,45,48,-0.875,-2.045395166674192,-72
72,monitor,0,41,41,-1.0,-0.9761904761904762,-82
22,concurren,2,50,52,-0.9230769230769231,-1.9006299972843261,-88
107,rout,6,63,69,-0.8260869565217391,-2.398812549945041,-90
85,predict,0,47,47,-1.0,-0.9791666666666666,-94
76,patch,0,51,51,-1.0,-0.9807692307692307,-102
18,charge,0,53,53,-1.0,-0.9814814814814815,-106
112,schedul,0,54,54,-1.0,-0.9818181818181818,-108
3,adapt,9,82,91,-0.8021978021978022,-2.620529475962667,-110
12,benchmark,1,58,59,-0.9661016949152542,-1.608489821531948,-110
5,assert,4,68,72,-0.8888888888888888,-2.287726388983321,-112
42,expose,0,56,56,-1.0,-0.9824561403508771,-112
108,safe,4,70,74,-0.8918918918918919,-2.2963053629420083,-116
68,mask,0,58,58,-1.0,-0.9830508474576272,-116
122,timeout,0,58,58,-1.0,-0.9830508474576272,-116
57,interface,17,116,133,-0.7443609022556391,-2.8742298808337337,-130
26,continuous,0,67,67,-1.0,-0.9852941176470589,-134
135,wrap,11,103,114,-0.8070175438596491,-2.7879253198304004,-140
41,evolve,0,82,82,-1.0,-0.9879518072289156,-164
80,pipeline,0,82,82,-1.0,-0.9879518072289156,-164
124,toler,0,85,85,-1.0,-0.9883720930232558,-170
43,extend,5,102,107,-0.9065420560747663,-2.5074135973622345,-174
38,energy,0,88,88,-1.0,-0.9887640449438202,-176
86,progress bar,0,99,99,-1.0,-0.99,-198
31,detect,1,113,114,-0.9824561403508771,-1.648978123675773,-220
28,coupling,2,119,121,-0.9669421487603306,-2.0126035883128597,-226
96,release,10,149,159,-0.8742138364779874,-2.9519215182435845,-238
24,configurat,3,130,133,-0.9548872180451128,-2.2616371930016874,-242
69,message,8,147,155,-0.896774193548387,-2.8488090785239395,-246
73,optimiz,4,157,161,-0.9503105590062112,-2.464469139521095,-290
92,reduce,1,149,150,-0.9866666666666667,-1.6595084948534564,-292
84,power,0,169,169,-1.0,-0.9941176470588236,-338
47,feedback,9,213,222,-0.918918918918919,-3.021198919151504,-372
36,efficient,5,207,212,-0.9528301886792453,-2.64758409757778,-384
11,avoid,2,254,256,-0.984375,-2.0577832558146447,-496
64,load,8,285,293,-0.9453924914675768,-3.0123510473541932,-522
23,config,16,313,329,-0.9027355623100304,-3.4498920096505947,-530
78,perform,35,408,443,-0.8419864559819413,-3.850568837937227,-606
134,variab,26,387,413,-0.87409200968523,-3.745886735815369,-618
51,guid,9,339,348,-0.9482758620689655,-3.1227881968138544,-624
2,access,4,328,332,-0.9759036144578314,-2.5389125634493954,-632
32,down,1,322,323,-0.9938080495356038,-1.6774698918510569,-638
123,toggle,0,322,322,-1.0,-0.9969040247678018,-644
56,integrat,25,402,427,-0.882903981264637,-3.750706529986212,-654
10,avail,2,335,337,-0.9881305637982196,-2.067567728184854,-658
52,hash,0,355,355,-1.0,-0.9971910112359551,-710
63,learn,10,432,442,-0.9547511312217195,-3.236821230521247,-804
15,cache,2,408,410,-0.9902439024390244,-2.073081725545627,-804
55,install,8,439,447,-0.9642058165548099,-3.075901323285515,-830
118,test,60,654,714,-0.8319327731092437,-4.245956748697828,-948
21,clear,28,649,677,-0.9172821270310192,-4.000133791182302,-1130
29,depend,28,712,740,-0.9243243243243243,-4.031349996910592,-1256
40,error,4,673,677,-0.9881831610044313,-2.574799356074356,-1322
65,log,9,779,788,-0.9771573604060914,-3.2230551604631374,-1504
128,update,6,1102,1108,-0.9891696750902527,-2.9113773880654854,-2168
114,simpl,37,1351,1388,-0.946685878962536,-4.387176539870749,-2480
