quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,wiki,url,total_similar,target_keywords,target_matched_words
Integrability,"I'd be also in favour of merging this version now and later adapt it to the LLVM upgrade. Once it's in master we'll be able to use it also from CVMFS (depending on where we test, e.g. SWAN, this makes logistics easier).",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/10685#issuecomment-1148562254:151,depend,depending,151,https://root.cern,https://github.com/root-project/root/pull/10685#issuecomment-1148562254,1,['depend'],['depending']
Integrability,"I'd be very happy to walk you through and hear your ideas! I don't like that we have this dualism of GH workflow steps vs the python script running steps - I'd prefer that any invocation of a binary is from GH steps rather than Python `subprocess`. That's certainly one of the things I see as problematic. For the rest I'm all ears!. Maybe I'll do another presentation at the ROOT meeting where I introduce people to the interface, and then a PPP where I explain the implementation and pick up comments?",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/13488#issuecomment-1685987956:421,interface,interface,421,https://root.cern,https://github.com/root-project/root/pull/13488#issuecomment-1685987956,1,['interface'],['interface']
Integrability,"I'd like to discuss the lib dependency at the team meeting on Monday. Can we hold back with the merge until after that discussion? (Disclaimer: I don't have an opinion yet, but I think we should discuss this.)",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/567#issuecomment-301111361:28,depend,dependency,28,https://root.cern,https://github.com/root-project/root/pull/567#issuecomment-301111361,1,['depend'],['dependency']
Integrability,"I'd like to hear Axel's opinion on the change, as it's user-facing and hard to remove once it's in. Qt is usually seen as a model for how to handle CMake integration (at least Qt5), and they don't have a generic target like this, you have to link against specific Qt components. Granted, ROOT is no Qt, things are a lot more integrated, but I think that if the dependencies for each component come in automatically, there will be less of a need for a target with everything in it.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/1959#issuecomment-387766583:154,integrat,integration,154,https://root.cern,https://github.com/root-project/root/pull/1959#issuecomment-387766583,3,"['depend', 'integrat']","['dependencies', 'integrated', 'integration']"
Integrability,"I'd like to wrap this up. Maybe I am naive but, as pointed out by Rene on [JIRA](https://sft.its.cern.ch/jira/browse/ROOT-2956), isn't this understood? We are trying to increment by one a single precision floating point number and at some point, the gap between 2 subsequent 32bit fp numbers is larger than 1...",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/issues/6671#issuecomment-1861799490:12,wrap,wrap,12,https://root.cern,https://github.com/root-project/root/issues/6671#issuecomment-1861799490,1,['wrap'],['wrap']
Integrability,"I'd prefer keeping this in `Internal` for the time being. We can always make it more public (e.g., move to `Detail`) but it's hard to go the other way round. The outside users, currently, is us. And we implicitly accept that this interface can break anytime.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/16786#issuecomment-2446454862:230,interface,interface,230,https://root.cern,https://github.com/root-project/root/pull/16786#issuecomment-2446454862,1,['interface'],['interface']
Integrability,I'd rather rename the existing `build/` dir. IIUC it's not part of ROOT's public interface?,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/8009#issuecomment-828605443:81,interface,interface,81,https://root.cern,https://github.com/root-project/root/pull/8009#issuecomment-828605443,1,['interface'],['interface']
Integrability,I'll close it for now because it depends on https://github.com/root-project/root/pull/7616.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/7344#issuecomment-811340365:33,depend,depends,33,https://root.cern,https://github.com/root-project/root/pull/7344#issuecomment-811340365,1,['depend'],['depends']
Integrability,I'll fix the compilation and provide a test for this interface.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/issues/11271#issuecomment-1232103123:53,interface,interface,53,https://root.cern,https://github.com/root-project/root/issues/11271#issuecomment-1232103123,1,['interface'],['interface']
Integrability,"I'll send the tests results which have been requested soon, and likely arrange things so that the TBB dependency here is optional. (Probably anyone who cares about threading efficiency is anyways building with implicit multithreading enabled.)",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/6919#issuecomment-744062720:102,depend,dependency,102,https://root.cern,https://github.com/root-project/root/pull/6919#issuecomment-744062720,1,['depend'],['dependency']
