url,Availability,Deployability,Energy Efficiency,Integrability,Modifiability,Performance,Safety,Security,Testability,Usability,total
https://github.com/CliMA/Oceananigans.jl/issues/447#issuecomment-542294442,0,1,1,1,1,1,0,0,1,1,7
https://github.com/allenai/scispacy/issues/415#issuecomment-1023716940,1,1,0,0,1,1,0,0,1,1,6
https://github.com/su2code/SU2/releases/tag/v6.0.0,1,0,0,1,0,1,0,0,1,1,5
https://github.com/su2code/SU2/issues/789#issuecomment-530440072,0,0,1,1,1,1,0,0,0,1,5
https://github.com/scverse/scanpy/issues/397#issuecomment-447865088,0,0,0,0,1,1,1,0,1,1,5
https://github.com/root-project/root/issues/16720#issuecomment-2425048725,1,0,0,1,1,0,0,0,1,1,5
https://github.com/qutip/qutip/releases/tag/v4.6.3,0,1,0,0,1,1,0,0,1,1,5
https://github.com/google/deepvariant/tree/v1.6.1/docs/deepvariant-build-test.md,0,1,0,1,1,0,0,1,1,0,5
https://github.com/broadinstitute/cromwell/issues/3690#issuecomment-664753906,1,1,0,1,1,0,0,1,0,0,5
https://github.com/CliMA/Oceananigans.jl/pull/2253#issuecomment-1050206426,1,0,1,1,1,0,0,0,0,1,5
https://qutip.org/features.html,0,0,1,0,0,1,0,0,1,1,4
https://psicode.org/psi4manual/1.9.x/prog_ways_to_add.html,0,0,1,1,1,0,0,0,0,1,4
https://psicode.org/psi4manual/1.4.0/prog_ways_to_add-1.html,0,0,1,1,1,0,0,0,0,1,4
https://github.com/su2code/SU2/pull/2214#issuecomment-1952521226,0,0,1,1,1,1,0,0,0,0,4
https://github.com/su2code/SU2/pull/1300#issuecomment-1402197827,1,0,1,1,0,0,0,0,0,1,4
https://github.com/su2code/SU2/issues/909#issuecomment-630289600,0,1,0,1,0,0,0,0,1,1,4
https://github.com/soedinglab/MMseqs2/releases/tag/4-0b8cc,1,0,1,0,0,1,0,0,0,1,4
https://github.com/scverse/scanpy/pull/1780#issuecomment-911791808,0,1,0,1,0,1,0,0,0,1,4
https://github.com/scipipe/scipipe/tree/v0.12.0/README.md,0,1,1,0,1,0,0,0,1,0,4
https://github.com/qutip/qutip/pull/241#issuecomment-58190164,0,0,0,0,1,1,1,0,0,1,4
https://github.com/qutip/qutip/issues/1607#issuecomment-883317473,0,0,1,1,1,0,0,0,0,1,4
https://github.com/hail-is/hail/pull/5162#issuecomment-462221996,1,0,0,1,0,1,0,0,0,1,4
https://github.com/google/deepvariant/issues/9#issuecomment-354748344,0,1,0,1,1,0,0,0,0,1,4
https://github.com/broadinstitute/gatk/releases/tag/4.0.8.0,1,1,0,0,0,1,1,0,0,0,4
https://github.com/broadinstitute/gatk/pull/5043#issuecomment-407089352,0,1,0,1,0,0,0,0,1,1,4
https://github.com/CliMA/Oceananigans.jl/issues/3543#issuecomment-2041168662,0,1,0,0,1,0,0,1,0,1,4
https://github.com/CliMA/Oceananigans.jl/issues/2967#issuecomment-2000029793,0,1,0,1,1,0,0,0,0,1,4
https://root.cern/root/html602/TRefArray.html,0,0,0,1,1,0,0,0,1,0,3
https://root.cern/root/html602/TRecorder.html,0,0,0,1,1,0,0,0,1,0,3
https://psicode.org/psi4manual/master/introduction.html,0,0,0,0,1,0,0,1,0,1,3
https://psicode.org/psi4manual/1.5.0/prog_ways_to_add.html,0,0,1,1,1,0,0,0,0,0,3
https://psicode.org/psi4manual/1.5.0/prog_ways_to_add-1.html,0,0,0,1,1,0,0,0,0,1,3
https://psicode.org/psi4manual/1.4.0/introduction.html,0,0,0,0,1,0,0,1,0,1,3
