url,Availability,Deployability,Energy Efficiency,Integrability,Modifiability,Performance,Safety,Security,Testability,Usability,total
https://github.com/CliMA/Oceananigans.jl/issues/447#issuecomment-542294442,,integrated,adaptive,integrated,adaptive,performs,,,logging,clearer,7
https://github.com/allenai/scispacy/issues/415#issuecomment-1023716940,download,update,,,variable,cached,,,test,simply,6
https://github.com/su2code/SU2/releases/tag/v6.0.0,maintenance,,,integration,,optimization,,,test,usability,5
https://github.com/su2code/SU2/issues/789#issuecomment-530440072,,,reduce,dependence,portability,performance,,,,simple,5
https://github.com/scverse/scanpy/issues/397#issuecomment-447865088,,,,,variability,perform,detection,,tests,simple,5
https://github.com/root-project/root/issues/16720#issuecomment-2425048725,failure,,,interface,configure,,,,test,clearly,5
https://github.com/qutip/qutip/releases/tag/v4.6.3,,release,,,configuration,performance,,,testing,simple,5
https://github.com/google/deepvariant/tree/v1.6.1/docs/deepvariant-build-test.md,,install,,dependencies,configuring,,,access,tests,,5
https://github.com/broadinstitute/cromwell/issues/3690#issuecomment-664753906,error,configuration,,message,configuration,,,access,,,5
https://github.com/CliMA/Oceananigans.jl/pull/2253#issuecomment-1050206426,maintenance,,adapt,dependencies,refactoring,,,,,user experience,5
https://qutip.org/features.html,,,efficiently,,,performing,,,tested,learn,4
https://psicode.org/psi4manual/1.9.x/prog_ways_to_add.html,,,efficiently,integration,plugins,,,,,simplified,4
https://psicode.org/psi4manual/1.4.0/prog_ways_to_add-1.html,,,efficiently,integration,plugins,,,,,simplified,4
https://github.com/su2code/SU2/pull/2214#issuecomment-1952521226,,,reduced,interface,variables,performance,,,,,4
https://github.com/su2code/SU2/pull/1300#issuecomment-1402197827,down,,efficient,interface,,,,,,clearer,4
https://github.com/su2code/SU2/issues/909#issuecomment-630289600,,releases,,integration,,,,,test,intuitive,4
https://github.com/soedinglab/MMseqs2/releases/tag/4-0b8cc,masking,,reduce,,,performance,,,,learned,4
https://github.com/scverse/scanpy/pull/1780#issuecomment-911791808,,releases,,wrapper,,loaded,,,,learning,4
https://github.com/scipipe/scipipe/tree/v0.12.0/README.md,,pipelines,efficient,,flexible,,,,log,,4
https://github.com/qutip/qutip/pull/241#issuecomment-58190164,,,,,flexible,perform,avoid,,,intuitive,4
https://github.com/qutip/qutip/issues/1607#issuecomment-883317473,,,adapted,wrapper,adapted,,,,,feedback,4
https://github.com/hail-is/hail/pull/5162#issuecomment-462221996,available,,,routing,,loading,,,,responsive,4
https://github.com/google/deepvariant/issues/9#issuecomment-354748344,,install,,wrapper,portability,,,,,feedback,4
https://github.com/broadinstitute/gatk/releases/tag/4.0.8.0,downloaded,release,,,,performance,detection,,,,4
https://github.com/broadinstitute/gatk/pull/5043#issuecomment-407089352,,updated,,dependent,,,,,assertions,simple,4
https://github.com/CliMA/Oceananigans.jl/issues/3543#issuecomment-2041168662,,updates,,,extended,,,access,,simplest,4
https://github.com/CliMA/Oceananigans.jl/issues/2967#issuecomment-2000029793,,updated,,interface,refactor,,,,,user experience,4
https://root.cern/root/html602/TRefArray.html,,,,message,inheritance,,,,test,,3
https://root.cern/root/html602/TRecorder.html,,,,interface,inheritance,,,,logfile,,3
https://psicode.org/psi4manual/master/introduction.html,,,,,adapted,,,access,,simple,3
https://psicode.org/psi4manual/1.5.0/prog_ways_to_add.html,,,efficiently,integration,plugins,,,,,,3
https://psicode.org/psi4manual/1.5.0/prog_ways_to_add-1.html,,,,integration,plugins,,,,,simplified,3
