filename,type,author,repo,version,wiki,url,patterns,purpose,summary
bootstrap-gateway/nginx.conf,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/bootstrap-gateway/nginx.conf,"[{'name': 'Worker Processes Management', 'match_type': 'partial', 'implemented_parts': ['auto worker_processes'], 'confidence': 0.9, 'evidence': ['dynamic worker process creation']}, {'name': 'Logging Configuration', 'match_type': 'partial', 'implemented_parts': ['combined_real_ip log format'], 'confidence': 0.8, 'evidence': ['customized access log format']}, {'name': 'SSL Configuration', 'match_type': 'partial', 'implemented_parts': ['TLS protocols exclusion'], 'confidence': 0.7, 'evidence': ['commented SSLv3 support']}]",This file configures a Nginx web server.,"{'constants': ['Defines server-related constants'], 'types': ['Custom data types for configuration'], 'classes': ['Nginx server configuration'], 'functions': ['Include modules', 'Handle requests']}"
bootstrap-gateway/service.yaml,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/bootstrap-gateway/service.yaml,"[{'name': 'Service Definition', 'match_type': 'full', 'implemented_parts': ['Service resource definition'], 'confidence': 1.0, 'evidence': ['apiVersion: v1', 'kind: Service']}]",This file defines two services: 'letsencrypt' and 'gateway'.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
bootstrap-gateway,FileType.DIR,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/bootstrap-gateway,"[{'name': 'CI pipeline pattern', 'match_type': 'partial', 'implemented_parts': ['Building and deploying code', 'Jinja2 templating'], 'confidence': 0.8, 'evidence': ['make command for building image', 'jinja2_render.py for templating']}, {'name': 'Worker Processes Management', 'match_type': 'partial', 'implemented_parts': ['auto worker_processes'], 'confidence': 0.9, 'evidence': ['dynamic worker process creation']}, {'name': 'Logging Configuration', 'match_type': 'partial', 'implemented_parts': ['combined_real_ip log format'], 'confidence': 0.8, 'evidence': ['customized access log format']}, {'name': 'SSL Configuration', 'match_type': 'partial', 'implemented_parts': ['TLS protocols exclusion'], 'confidence': 0.7, 'evidence': ['commented SSLv3 support']}, {'name': 'Service Definition', 'match_type': 'full', 'implemented_parts': ['Service resource definition'], 'confidence': 1.0, 'evidence': ['apiVersion: v1', 'kind: Service']}]",This Makefile manages the CI pipeline for building and deploying the Hail Gateway.,"{'constants': ['Defines Docker image and IP related constants'], 'types': ['Shell commands for retrieving IP'], 'classes': ['Makefile handles pipeline'], 'functions': ['Building image', 'Rendering configuration files']}"
ci/buildkit/convert-cloud-credentials-to-docker-auth-config,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/ci/buildkit/convert-cloud-credentials-to-docker-auth-config,"[{'name': 'Credentials Retrieval', 'match_type': 'partial', 'implemented_parts': ['Environment variable handling', 'Username and password extraction'], 'confidence': 0.9, 'evidence': ['Checking GOOGLE_APPLICATION_CREDENTIALS and AZURE_APPLICATION_CREDENTIALS environment variables', 'Extracting username and password from the credentials file using jq command']}, {'name': 'Base64 Encoding', 'match_type': 'partial', 'implemented_parts': ['Encoding username and password', 'Converting to base64'], 'confidence': 0.8, 'evidence': ['Using echo command to combine username and password', 'Applying base64 encoding with tr command']}, {'name': 'Registry Authentication Configuration', 'match_type': 'partial', 'implemented_parts': ['Iterating over a list of registries', 'Constructing authentication data for each registry'], 'confidence': 0.7, 'evidence': ['Iterating over REGISTRIES environment variable', 'Using jq command to add authentication data for each registry to a JSON object']}]",This file fetches application credentials from environment variables and encodes them for authentication purposes.,"{'constants': ['Defines environment variables for different cloud providers'], 'types': ['Data structures for registry authentication'], 'classes': ['None'], 'functions': ['Retrieves and encodes credentials', 'Configures authentication for Docker registries']}"
ci/buildkit/Dockerfile,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/ci/buildkit/Dockerfile,"[{'name': 'Caretaker', 'match_type': 'partial', 'implemented_parts': ['Saves and restores state', 'Memento management'], 'confidence': 0.9, 'evidence': ['save_state', 'restore_state', 'create_memento', 'get_memento']}, {'name': 'Visitor', 'match_type': 'partial', 'implemented_parts': ['Visitor pattern implementation', 'Element interaction'], 'confidence': 0.8, 'evidence': ['visit method', 'accept method', 'operation application']}]",This file builds a Docker image for building Kit projects.,"{'constants': ['Defines Docker-related configuration'], 'types': ['Docker image configuration'], 'classes': ['Dockerfile defines build process'], 'functions': ['Docker image creation from build kit']}"
ci/buildkit,FileType.DIR,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/ci/buildkit,"[{'name': 'Credentials Extraction', 'match_type': 'partial', 'implemented_parts': ['Extracting username and password from environment variables', 'Encoding username and password', 'Converting to base64'], 'confidence': 0.8, 'evidence': ['Using echo command to combine username and password', 'Applying base64 encoding with tr command']}, {'name': 'Registry Authentication Configuration', 'match_type': 'partial', 'implemented_parts': ['Iterating over a list of registries', 'Constructing authentication data for each registry'], 'confidence': 0.7, 'evidence': ['Iterating over REGISTRIES environment variable', 'Using jq command to add authentication data for each registry to a JSON object']}]",This file fetches application credentials from environment variables and encodes them for authentication purposes.,"{'constants': ['Defines environment variables for different cloud providers'], 'types': ['Data structures for registry authentication'], 'classes': ['None'], 'functions': ['Retrieves and encodes credentials', 'Configures authentication for Docker registries']}"
ci/ci/templates/batch.html,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/ci/ci/templates/batch.html,"[{'name': 'Template Inheritance', 'match_type': 'partial', 'implemented_parts': ['extends base template', 'block content'], 'confidence': 0.9, 'evidence': [""extends 'layout.html'""]}, {'name': 'Data Templating', 'match_type': 'partial', 'implemented_parts': ['variable access with batch data', 'loop over attributes'], 'confidence': 0.8, 'evidence': ['{% for field in batch %}', '{% endfor %}']}]",This file inherits a base template and uses data templating to display batch information.,"{'constants': ['Base path constant'], 'types': ['Batch data object'], 'classes': ['None'], 'functions': ['base_path variable access']}"
ci/ci/templates/batches.html,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/ci/ci/templates/batches.html,"[{'name': 'Template Inheritance', 'match_type': 'full', 'implemented_parts': ['extends base template', 'blocks content'], 'confidence': 1.0, 'evidence': ['{% extends ""layout.html"" %}', '{% block title %}Batches{% endblock %}']}, {'name': 'Data Iteration', 'match_type': 'partial', 'implemented_parts': ['for loop over batches'], 'confidence': 0.9, 'evidence': ['{% for batch in batches %}']}]",This file displays a list of batches retrieved from a data source.,"{'constants': ['None'], 'types': ['Batch'], 'classes': ['None'], 'functions': ['None']}"
ci/ci/templates/dev-deploy-table.html,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/ci/ci/templates/dev-deploy-table.html,"[{'name': 'Template inclusion', 'match_type': 'partial', 'implemented_parts': ['Macro definition', 'Block inclusion'], 'confidence': 0.95, 'evidence': ['{% macro dev_deploy_table (...) %}', '{% block head ... %}', '{% endblock %}']}]",This file defines a reusable template that displays a table of deployed branches.,"{'constants': ['None'], 'types': ['None'], 'classes': ['None'], 'functions': ['searchTable', 'devDepSearchBar']}"
ci/ci/templates/filtered-jobs.html,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/ci/ci/templates/filtered-jobs.html,[],This file uses Django template syntax to display a filtered list of jobs based on their status.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
