keyword,matched_word,sentence,quality_attribute,filename,source,author,repo,version,url
perf,performing,Bento is an accessible Python toolkit for performing subcellular analysis of spatial transcriptomics data,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\ecosystem.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/ecosystem.html#:~:text=Bento%20is%20an%20accessible%20Python%20toolkit%20for%20performing%20subcellular%20analysis%20of%20spatial%20transcriptomics%20data
fast,fast, Bbknn: fast batch alignment of single cell transcriptomes,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\references.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/references.html#:~:text=%20Bbknn%3A%20fast%20batch%20alignment%20of%20single%20cell%20transcriptomes
perf,perform," Other than tools, preprocessing steps usually don’t return an easily interpretable annotation, but perform a basic transformation on the data matrix",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\api\preprocessing.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/api/preprocessing.html#:~:text=%20Other%20than%20tools%2C%20preprocessing%20steps%20usually%20don%E2%80%99t%20return%20an%20easily%20interpretable%20annotation%2C%20but%20perform%20a%20basic%20transformation%20on%20the%20data%20matrix
optimiz,optimization,different intial states for the optimization,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\api\generated\scanpy.pl.paga.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/api/generated/scanpy.pl.paga.html#:~:text=different%20intial%20states%20for%20the%20optimization
optimiz,optimizing,Are you optimizing a method? Check that it’s results are the same as a gold standard implementation,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\dev\testing.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/dev/testing.html#:~:text=Are%20you%20optimizing%20a%20method%3F%20Check%20that%20it%E2%80%99s%20results%20are%20the%20same%20as%20a%20gold%20standard%20implementation
fast,fast,"That said, it’s nice when the test suite runs fast",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\dev\testing.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/dev/testing.html#:~:text=That%20said%2C%20it%E2%80%99s%20nice%20when%20the%20test%20suite%20runs%20fast
fast,fast,n_landmark int (default: 2000)number of landmarks to use in fast PHATE,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\external\generated\scanpy.external.tl.phate.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.phate.html#:~:text=n_landmark%20int%20%28default%3A%202000%29number%20of%20landmarks%20to%20use%20in%20fast%20PHATE
perf,performance, Note that performance will be,sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\external\generated\scanpy.external.tl.phenograph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.phenograph.html#:~:text=%20Note%20that%20performance%20will%20be
perf,performs,"computation, performs faster than kdtree",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\external\generated\scanpy.external.tl.phenograph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.phenograph.html#:~:text=computation%2C%20performs%20faster%20than%20kdtree
optimiz,optimization," precision, for monitoring modularity optimization",sample,scverse\scanpy\scanpy.readthedocs.io\en\stable\external\generated\scanpy.external.tl.phenograph.html,WIKI,scverse,scanpy,latest,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.phenograph.html#:~:text=%20precision%2C%20for%20monitoring%20modularity%20optimization
