quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Deployability,release,release,Instructions for creating a release of the scispacy library,MatchSource.CODE_COMMENT,setup.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/setup.py#:~:text=Instructions%20for%20creating%20a%20release%20of%20the%20scispacy%20library
Deployability,install,install,Check you can install the new distribution in a clean environment,MatchSource.CODE_COMMENT,setup.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/setup.py#:~:text=Check%20you%20can%20install%20the%20new%20distribution%20in%20a%20clean%20environment
Modifiability,variab,variables,py defines VERSION and VERSION_SHORT variables,MatchSource.CODE_COMMENT,setup.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/setup.py#:~:text=py%20defines%20VERSION%20and%20VERSION_SHORT%20variables
Security,password,password,"Upload the distribution to pypi by running ""twine upload <path to the distribution> -u <username> -p <password>""",MatchSource.CODE_COMMENT,setup.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/setup.py#:~:text=Upload%20the%20distribution%20to%20pypi%20by%20running%20%22twine%20upload%20%3Cpath%20to%20the%20distribution%3E%20-u%20%3Cusername%3E%20-p%20%3Cpassword%3E%22
Security,password,password,"This step will ask you for a username and password - the username is ""scispacy"" you can",MatchSource.CODE_COMMENT,setup.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/setup.py#:~:text=This%20step%20will%20ask%20you%20for%20a%20username%20and%20password%20-%20the%20username%20is%20%22scispacy%22%20you%20can
Security,password,password,get the password from LastPass,MatchSource.CODE_COMMENT,setup.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/setup.py#:~:text=get%20the%20password%20from%20LastPass
Safety,detect,detection,"Implements the abbreviation detection algorithm in ""A simple algorithm",MatchSource.CODE_COMMENT,scispacy/abbreviation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/abbreviation.py#:~:text=Implements%20the%20abbreviation%20detection%20algorithm%20in%20%22A%20simple%20algorithm
Safety,detect,detector,The abbreviation span identified by the detector,MatchSource.CODE_COMMENT,scispacy/abbreviation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/abbreviation.py#:~:text=The%20abbreviation%20span%20identified%20by%20the%20detector
Usability,simpl,simple,"Implements the abbreviation detection algorithm in ""A simple algorithm",MatchSource.CODE_COMMENT,scispacy/abbreviation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/abbreviation.py#:~:text=Implements%20the%20abbreviation%20detection%20algorithm%20in%20%22A%20simple%20algorithm
Usability,simpl,simple,"Detects abbreviations using the algorithm in ""A simple algorithm for identifying",MatchSource.CODE_COMMENT,scispacy/abbreviation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/abbreviation.py#:~:text=Detects%20abbreviations%20using%20the%20algorithm%20in%20%22A%20simple%20algorithm%20for%20identifying
Availability,avail,available,"Currently, two defaults are available:",MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=Currently%2C%20two%20defaults%20are%20available%3A
Integrability,wrap,wrapper,This function is a wrapper around `ann_index,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=This%20function%20is%20a%20wrapper%20around%20%60ann_index
Integrability,wrap,wrapper,# `nmslib_knn_with_zero_vectors` is a wrapper around `ann_index,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=%23%20%60nmslib_knn_with_zero_vectors%60%20is%20a%20wrapper%20around%20%60ann_index
Integrability,bridg,bridges,These later become bridges between the network hubs that,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=These%20later%20become%20bridges%20between%20the%20network%20hubs%20that
Modifiability,config,configured,"To use these configured default KBs, pass the `name` parameter, either 'umls' or 'mesh'",MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=To%20use%20these%20configured%20default%20KBs%2C%20pass%20the%20%60name%60%20parameter%2C%20either%20%27umls%27%20or%20%27mesh%27
Modifiability,extend,extend,- extend the list `neighbors` with `None`s in place of empty vectors,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=-%20extend%20the%20list%20%60neighbors%60%20with%20%60None%60s%20in%20place%20of%20empty%20vectors
Modifiability,extend,extended,- return the extended list of neighbors and distances,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=-%20return%20the%20extended%20list%20of%20neighbors%20and%20distances
Performance,perform,performance,Controls speed performance at query time,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=Controls%20speed%20performance%20at%20query%20time
Performance,perform,performance,of magnitude for a small performance hit,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=of%20magnitude%20for%20a%20small%20performance%20hit
Performance,perform,performance,"k-nn baseline linker results in very poor performance, because there are multiple entities for some strings",MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=k-nn%20baseline%20linker%20results%20in%20very%20poor%20performance%2C%20because%20there%20are%20multiple%20entities%20for%20some%20strings
Performance,load,load,The name of the pretrained entity linker to load,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=The%20name%20of%20the%20pretrained%20entity%20linker%20to%20load
Usability,guid,guide,# guide: https://github,MatchSource.CODE_COMMENT,scispacy/candidate_generation.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/candidate_generation.py#:~:text=%23%20guide%3A%20https%3A//github
Deployability,pipeline,pipeline,Intended to be used as a pipe in a spaCy pipeline,MatchSource.CODE_COMMENT,scispacy/custom_sentence_segmenter.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/custom_sentence_segmenter.py#:~:text=Intended%20to%20be%20used%20as%20a%20pipe%20in%20a%20spaCy%20pipeline
Deployability,pipeline,pipeline,spaCy pipeline,MatchSource.CODE_COMMENT,scispacy/custom_tokenizer.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/custom_tokenizer.py#:~:text=spaCy%20pipeline
Deployability,pipeline,pipeline,pipeline like so:,MatchSource.CODE_COMMENT,scispacy/custom_tokenizer.py,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/custom_tokenizer.py#:~:text=pipeline%20like%20so%3A
