quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Availability,avail,available,"Contributing; ============. Contributions to Scanpy are highly welcome!. Before filing an issue; ----------------------; * Search the repository (also google) to see if someone has already reported the same issue.; This allows contributors to spend less time responding to issues, and more time adding new features!; * Please provide a minimal complete verifiable example for any bug.; If you're not sure what this means, check out; [this blog post](https://matthewrocklin.com/minimal-bug-reports); by Matthew Rocklin or [this definition](https://stackoverflow.com/help/mcve) from StackOverflow.; * Let us know about your environment. Environment information is available via: `sc.logging.print_versions()`. Contributing code; -----------------. We love code contributions!; If you're interested in contributing code, please take a look over the [contribution guide](https://scanpy.readthedocs.io/en/latest/dev/index.html) in the main documentation.; ",MatchSource.DOCS,CONTRIBUTING.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/CONTRIBUTING.md
Testability,log,logging,"Contributing; ============. Contributions to Scanpy are highly welcome!. Before filing an issue; ----------------------; * Search the repository (also google) to see if someone has already reported the same issue.; This allows contributors to spend less time responding to issues, and more time adding new features!; * Please provide a minimal complete verifiable example for any bug.; If you're not sure what this means, check out; [this blog post](https://matthewrocklin.com/minimal-bug-reports); by Matthew Rocklin or [this definition](https://stackoverflow.com/help/mcve) from StackOverflow.; * Let us know about your environment. Environment information is available via: `sc.logging.print_versions()`. Contributing code; -----------------. We love code contributions!; If you're interested in contributing code, please take a look over the [contribution guide](https://scanpy.readthedocs.io/en/latest/dev/index.html) in the main documentation.; ",MatchSource.DOCS,CONTRIBUTING.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/CONTRIBUTING.md
Usability,guid,guide,"Contributing; ============. Contributions to Scanpy are highly welcome!. Before filing an issue; ----------------------; * Search the repository (also google) to see if someone has already reported the same issue.; This allows contributors to spend less time responding to issues, and more time adding new features!; * Please provide a minimal complete verifiable example for any bug.; If you're not sure what this means, check out; [this blog post](https://matthewrocklin.com/minimal-bug-reports); by Matthew Rocklin or [this definition](https://stackoverflow.com/help/mcve) from StackOverflow.; * Let us know about your environment. Environment information is available via: `sc.logging.print_versions()`. Contributing code; -----------------. We love code contributions!; If you're interested in contributing code, please take a look over the [contribution guide](https://scanpy.readthedocs.io/en/latest/dev/index.html) in the main documentation.; ",MatchSource.DOCS,CONTRIBUTING.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/CONTRIBUTING.md
Energy Efficiency,power,powered,"b/stars/scverse/scanpy?style=flat&logo=GitHub&color=yellow)](https://github.com/scverse/scanpy/stargazers); [![PyPI](https://img.shields.io/pypi/v/scanpy?logo=PyPI)](https://pypi.org/project/scanpy); [![Downloads](https://static.pepy.tech/badge/scanpy)](https://pepy.tech/project/scanpy); [![Conda](https://img.shields.io/conda/dn/conda-forge/scanpy?logo=Anaconda)](https://anaconda.org/conda-forge/scanpy); [![Docs](https://readthedocs.com/projects/icb-scanpy/badge/?version=latest)](https://scanpy.readthedocs.io); [![Build Status](https://dev.azure.com/scverse/scanpy/_apis/build/status/scverse.scanpy?branchName=main)](https://dev.azure.com/scverse/scanpy/_build); [![Discourse topics](https://img.shields.io/discourse/posts?color=yellow&logo=discourse&server=https%3A%2F%2Fdiscourse.scverse.org)](https://discourse.scverse.org/); [![Chat](https://img.shields.io/badge/zulip-join_chat-%2367b08f.svg)](https://scverse.zulipchat.com); [![Powered by NumFOCUS](https://img.shields.io/badge/powered%20by-NumFOCUS-orange.svg?style=flat&colorA=E1523D&colorB=007D8A)](https://numfocus.org/). # Scanpy – Single-Cell Analysis in Python. Scanpy is a scalable toolkit for analyzing single-cell gene expression data; built jointly with [anndata][]. It includes; preprocessing, visualization, clustering, trajectory inference and differential; expression testing. The Python-based implementation efficiently deals with; datasets of more than one million cells. Discuss usage on the scverse [Discourse][]. Read the [documentation][].; If you'd like to contribute by opening an issue or creating a pull request, please take a look at our [contribution guide][]. [anndata]: https://anndata.readthedocs.io; [discourse]: https://discourse.scverse.org/; [documentation]: https://scanpy.readthedocs.io. [//]: # (numfocus-fiscal-sponsor-attribution). scanpy is part of the scverse project ([website](https://scverse.org), [governance](https://scverse.org/about/roles)) and is fiscally sponsored by [NumFOCUS](https://n",MatchSource.DOCS,README.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/README.md
Performance,scalab,scalable,"roject/scanpy); [![Downloads](https://static.pepy.tech/badge/scanpy)](https://pepy.tech/project/scanpy); [![Conda](https://img.shields.io/conda/dn/conda-forge/scanpy?logo=Anaconda)](https://anaconda.org/conda-forge/scanpy); [![Docs](https://readthedocs.com/projects/icb-scanpy/badge/?version=latest)](https://scanpy.readthedocs.io); [![Build Status](https://dev.azure.com/scverse/scanpy/_apis/build/status/scverse.scanpy?branchName=main)](https://dev.azure.com/scverse/scanpy/_build); [![Discourse topics](https://img.shields.io/discourse/posts?color=yellow&logo=discourse&server=https%3A%2F%2Fdiscourse.scverse.org)](https://discourse.scverse.org/); [![Chat](https://img.shields.io/badge/zulip-join_chat-%2367b08f.svg)](https://scverse.zulipchat.com); [![Powered by NumFOCUS](https://img.shields.io/badge/powered%20by-NumFOCUS-orange.svg?style=flat&colorA=E1523D&colorB=007D8A)](https://numfocus.org/). # Scanpy – Single-Cell Analysis in Python. Scanpy is a scalable toolkit for analyzing single-cell gene expression data; built jointly with [anndata][]. It includes; preprocessing, visualization, clustering, trajectory inference and differential; expression testing. The Python-based implementation efficiently deals with; datasets of more than one million cells. Discuss usage on the scverse [Discourse][]. Read the [documentation][].; If you'd like to contribute by opening an issue or creating a pull request, please take a look at our [contribution guide][]. [anndata]: https://anndata.readthedocs.io; [discourse]: https://discourse.scverse.org/; [documentation]: https://scanpy.readthedocs.io. [//]: # (numfocus-fiscal-sponsor-attribution). scanpy is part of the scverse project ([website](https://scverse.org), [governance](https://scverse.org/about/roles)) and is fiscally sponsored by [NumFOCUS](https://numfocus.org/).; If you like scverse and want to support our mission, please consider making a [donation](https://numfocus.org/donate-to-scverse) to support our efforts. <div align=""cent",MatchSource.DOCS,README.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/README.md
Testability,log,logo,"[![Stars](https://img.shields.io/github/stars/scverse/scanpy?style=flat&logo=GitHub&color=yellow)](https://github.com/scverse/scanpy/stargazers); [![PyPI](https://img.shields.io/pypi/v/scanpy?logo=PyPI)](https://pypi.org/project/scanpy); [![Downloads](https://static.pepy.tech/badge/scanpy)](https://pepy.tech/project/scanpy); [![Conda](https://img.shields.io/conda/dn/conda-forge/scanpy?logo=Anaconda)](https://anaconda.org/conda-forge/scanpy); [![Docs](https://readthedocs.com/projects/icb-scanpy/badge/?version=latest)](https://scanpy.readthedocs.io); [![Build Status](https://dev.azure.com/scverse/scanpy/_apis/build/status/scverse.scanpy?branchName=main)](https://dev.azure.com/scverse/scanpy/_build); [![Discourse topics](https://img.shields.io/discourse/posts?color=yellow&logo=discourse&server=https%3A%2F%2Fdiscourse.scverse.org)](https://discourse.scverse.org/); [![Chat](https://img.shields.io/badge/zulip-join_chat-%2367b08f.svg)](https://scverse.zulipchat.com); [![Powered by NumFOCUS](https://img.shields.io/badge/powered%20by-NumFOCUS-orange.svg?style=flat&colorA=E1523D&colorB=007D8A)](https://numfocus.org/). # Scanpy – Single-Cell Analysis in Python. Scanpy is a scalable toolkit for analyzing single-cell gene expression data; built jointly with [anndata][]. It includes; preprocessing, visualization, clustering, trajectory inference and differential; expression testing. The Python-based implementation efficiently deals with; datasets of more than one million cells. Discuss usage on the scverse [Discourse][]. Read the [documentation][].; If you'd like to contribute by opening an issue or creating a pull request, please take a look at our [contribution guide][]. [anndata]: https://anndata.readthedocs.io; [discourse]: https://discourse.scverse.org/; [documentation]: https://scanpy.readthedocs.io. [//]: # (numfocus-fiscal-sponsor-attribution). scanpy is part of the scverse project ([website](https://scverse.org), [governance](https://scverse.org/about/roles)) and is fisca",MatchSource.DOCS,README.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/README.md
Usability,guid,guide,"atus/scverse.scanpy?branchName=main)](https://dev.azure.com/scverse/scanpy/_build); [![Discourse topics](https://img.shields.io/discourse/posts?color=yellow&logo=discourse&server=https%3A%2F%2Fdiscourse.scverse.org)](https://discourse.scverse.org/); [![Chat](https://img.shields.io/badge/zulip-join_chat-%2367b08f.svg)](https://scverse.zulipchat.com); [![Powered by NumFOCUS](https://img.shields.io/badge/powered%20by-NumFOCUS-orange.svg?style=flat&colorA=E1523D&colorB=007D8A)](https://numfocus.org/). # Scanpy – Single-Cell Analysis in Python. Scanpy is a scalable toolkit for analyzing single-cell gene expression data; built jointly with [anndata][]. It includes; preprocessing, visualization, clustering, trajectory inference and differential; expression testing. The Python-based implementation efficiently deals with; datasets of more than one million cells. Discuss usage on the scverse [Discourse][]. Read the [documentation][].; If you'd like to contribute by opening an issue or creating a pull request, please take a look at our [contribution guide][]. [anndata]: https://anndata.readthedocs.io; [discourse]: https://discourse.scverse.org/; [documentation]: https://scanpy.readthedocs.io. [//]: # (numfocus-fiscal-sponsor-attribution). scanpy is part of the scverse project ([website](https://scverse.org), [governance](https://scverse.org/about/roles)) and is fiscally sponsored by [NumFOCUS](https://numfocus.org/).; If you like scverse and want to support our mission, please consider making a [donation](https://numfocus.org/donate-to-scverse) to support our efforts. <div align=""center"">; <a href=""https://numfocus.org/project/scverse"">; <img; src=""https://raw.githubusercontent.com/numfocus/templates/master/images/numfocus-logo.png""; width=""200""; >; </a>; </div>. ## Citation. If you use `scanpy` in your work, please cite the `scanpy` publication as follows:. > **SCANPY: large-scale single-cell gene expression data analysis**; >; > F. Alexander Wolf, Philipp Angerer, Fabian J. T",MatchSource.DOCS,README.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/README.md
Deployability,release,release,<!--; Thanks for opening a PR to scanpy!; Please be sure to follow the guidelines in our contribution guide (https://scanpy.readthedocs.io/en/latest/dev/index.html) to familiarize yourself with our workflow and speed up review.; -->. <!-- Please check (“- [x]”) and fill in the following boxes -->; - [ ] Closes #; - [ ] Tests included or not required because:; <!-- Only check the following box if you did not include release notes -->; - [ ] Release notes not necessary because:; ,MatchSource.DOCS,.github/pull_request_template.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/.github/pull_request_template.md
Usability,guid,guidelines,<!--; Thanks for opening a PR to scanpy!; Please be sure to follow the guidelines in our contribution guide (https://scanpy.readthedocs.io/en/latest/dev/index.html) to familiarize yourself with our workflow and speed up review.; -->. <!-- Please check (“- [x]”) and fill in the following boxes -->; - [ ] Closes #; - [ ] Tests included or not required because:; <!-- Only check the following box if you did not include release notes -->; - [ ] Release notes not necessary because:; ,MatchSource.DOCS,.github/pull_request_template.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/.github/pull_request_template.md
Testability,benchmark,benchmarking,# Scanpy Benchmarks. This directory contains code for benchmarking Scanpy using [asv][]. The functionality is checked using the [`benchmark.yml`][] workflow.; Benchmarks are run using the [benchmark bot][]. [asv]: https://asv.readthedocs.io/; [`benchmark.yml`]: ../.github/workflows/benchmark.yml; [benchmark bot]: https://github.com/apps/scverse-benchmark; ,MatchSource.DOCS,benchmarks/README.md,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io,https://github.com/scverse/scanpy/tree/1.10.2/benchmarks/README.md
