Term,TF-IDF Score
aw,0.48300842784839426
secur,0.34389970605120235
use,0.2851011741575439
access,0.22974450754546544
manag,0.17639559568097535
data,0.15631804820509196
servic,0.1445583418263603
account,0.14341105339916693
bp,0.14312423129236862
sec,0.13738778915640193
control,0.12849630384565358
amazon,0.12534126067087192
resourc,0.12390715013688024
user,0.10956604479696355
ident,0.09952727105902186
iam,0.09837998263182852
provid,0.09694587209783685
implement,0.09407765102985352
practic,0.09063578574827351
autom,0.08776756468029016
architect,0.0863334541462985
respons,0.0854729878259035
polici,0.08461252150550849
workload,0.08403887729191183
incid,0.08403887729191183
well,0.08346523307831516
framework,0.08002336779673516
best,0.07772879094234848
permiss,0.07486056987436515
pillar,0.07342645934037348
organ,0.07141870459278514
process,0.06969777195199514
requir,0.06969777195199514
key,0.06654272877721346
congur,0.06596908456361679
credenti,0.06453497402962513
log,0.06453497402962513
relat,0.06396132981602846
role,0.06195357506844012
applic,0.06137993085484345
deploy,0.05937217610725511
help,0.055643488718876775
establish,0.055643488718876775
creat,0.053635733971288437
protect,0.05306208975769177
system,0.05277526765089344
network,0.0516279792237001
environ,0.0499070465829101
test,0.04875975815571676
dene,0.04789929183532176
guidanc,0.04761246972852343
team,0.04761246972852343
code,0.04703882551492676
reduc,0.046178359194531754
level,0.04560471498093509
tool,0.04503107076733842
exampl,0.04417060444694342
develop,0.04388378234014508
risk,0.04359696023334675
oper,0.04359696023334675
threat,0.04216284969935508
review,0.04187602759255675
allow,0.04072873916536341
encrypt,0.03986827284496841
need,0.03958145073817008
consid,0.03958145073817008
detect,0.039294628631371745
share,0.03757369599058174
identifi,0.03527911913619507
perform,0.03527911913619507
event,0.0347054749225984
within,0.03441865281580007
emerg,0.03441865281580007
group,0.0338450086022034
root,0.03327136438860673
document,0.03241089806821173
chang,0.03241089806821173
store,0.03183725385461506
step,0.03183725385461506
custom,0.03155043174781673
softwar,0.031263609641018396
monitor,0.03097678753422006
also,0.03097678753422006
alert,0.030689965427421726
central,0.030403143320623393
includ,0.029829499107026723
common,0.029829499107026723
base,0.029829499107026723
integr,0.029255854893430057
grant,0.028969032786631724
layer,0.02868221067983339
model,0.028395388573035054
inform,0.027821744359438388
sensit,0.027248100145841718
mechan,0.027248100145841718
approach,0.02667445593224505
set,0.02638763382544672
certic,0.026100811718648385
secret,0.026100811718648385
updat,0.026100811718648385
trac,0.02581398961185005
issu,0.025240345398253382
lifecycl,0.02495352329145505
sourc,0.02495352329145505
standard,0.024666701184656716
build,0.024666701184656716
action,0.024666701184656716
verifi,0.024666701184656716
web,0.02437987907785838
sign,0.02437987907785838
cloud,0.024093056971060046
support,0.023806234864261713
remedi,0.02351941275746338
solut,0.02351941275746338
audit,0.023232590650665044
analyz,0.023232590650665044
time,0.023232590650665044
pipelin,0.023232590650665044
new,0.02294576854386671
authent,0.022658946437068377
improv,0.022658946437068377
vpc,0.022372124330270044
privileg,0.02208530222347171
pattern,0.02208530222347171
extern,0.021798480116673374
recommend,0.02151165800987504
