id,filename,ext,embedding_no_type,element_type,function.name,function.parameters,function.type,embedding,author,repo_name,tag,import,import.name,import.from,import.path,constant,constant.name,constant.value,function.docstring,class.name,method.name,method.parameters,class.field,class.instance_field,method.type,method.decorator,class.base,field.name,field.default
scverse_scanpy_1.10.1,min-deps.py,python,min_dep(req: Requirement) -> Requirement,function,min_dep,(req: Requirement),Requirement,Function: min_dep(req: Requirement) -> Requirement,scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,"extract_min_deps(
    dependencies: Iterable[Requirement], *, pyproject
) -> Generator[Requirement, None, None]",function,extract_min_deps,"(
    dependencies: Iterable[Requirement], *, pyproject
)","Generator[Requirement, None, None]","Function: extract_min_deps(
    dependencies: Iterable[Requirement], *, pyproject
) -> Generator[Requirement, None, None]",scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,main(),function,main,(),,Function: main(),scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,argparse,import,,,,Import: argparse,scverse,scanpy,1.10.1,import argparse,argparse,,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,sys,import,,,,Import: sys,scverse,scanpy,1.10.1,import sys,sys,,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,deque from collections,import,,,,Import: deque from collections,scverse,scanpy,1.10.1,from collections import deque,deque,collections,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,Path from pathlib,import,,,,Import: Path from pathlib,scverse,scanpy,1.10.1,from pathlib import Path,Path,pathlib,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,TYPE_CHECKING from typing,import,,,,Import: TYPE_CHECKING from typing,scverse,scanpy,1.10.1,from typing import TYPE_CHECKING,TYPE_CHECKING,typing,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,Requirement from packaging.requirements,local_import,,,,Import: Requirement from packaging.requirements,scverse,scanpy,1.10.1,from packaging.requirements import Requirement,Requirement,packaging.requirements,packaging.requirements,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,min-deps.py,python,Version from packaging.version,local_import,,,,Import: Version from packaging.version,scverse,scanpy,1.10.1,from packaging.version import Version,Version,packaging.version,packaging.version,,,,,,,,,,,,,,
,min-deps.py,python,,,,,,File: ci\scripts,scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
,min-deps.py,python,,,,,,Directory: ci\scripts\min-deps.py,scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,setup(app: Sphinx),function,setup,(app: Sphinx),,Function: setup(app: Sphinx),scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,HERE = Path(__file__).parent,constant,,,,Constant: HERE = Path(__file__).parent,scverse,scanpy,1.10.1,,,,,HERE = Path(__file__).parent,HERE,Path(__file__).parent,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,nitpicky = True,constant,,,,Constant: nitpicky = True,scverse,scanpy,1.10.1,,,,,nitpicky = True,nitpicky,True,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"needs_sphinx = ""4.0""",constant,,,,"Constant: needs_sphinx = ""4.0""",scverse,scanpy,1.10.1,,,,,"needs_sphinx = ""4.0""",needs_sphinx,"""4.0""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"suppress_warnings = [
    ""myst.header"",  # https://github.com/executablebooks/MyST-Parser/issues/262
]",constant,,,,"Constant: suppress_warnings = [
    ""myst.header"",  # https://github.com/executablebooks/MyST-Parser/issues/262
]",scverse,scanpy,1.10.1,,,,,"suppress_warnings = [
    ""myst.header"",  # https://github.com/executablebooks/MyST-Parser/issues/262
]",suppress_warnings,"[
    ""myst.header"",  # https://github.com/executablebooks/MyST-Parser/issues/262
]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"project = ""Scanpy""",constant,,,,"Constant: project = ""Scanpy""",scverse,scanpy,1.10.1,,,,,"project = ""Scanpy""",project,"""Scanpy""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"author = ""Scanpy development team""",constant,,,,"Constant: author = ""Scanpy development team""",scverse,scanpy,1.10.1,,,,,"author = ""Scanpy development team""",author,"""Scanpy development team""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"repository_url = ""https://github.com/scverse/scanpy""",constant,,,,"Constant: repository_url = ""https://github.com/scverse/scanpy""",scverse,scanpy,1.10.1,,,,,"repository_url = ""https://github.com/scverse/scanpy""",repository_url,"""https://github.com/scverse/scanpy""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"copyright = f""{datetime.now():%Y}, the Scanpy development team""",constant,,,,"Constant: copyright = f""{datetime.now():%Y}, the Scanpy development team""",scverse,scanpy,1.10.1,,,,,"copyright = f""{datetime.now():%Y}, the Scanpy development team""",copyright,"f""{datetime.now():%Y}, the Scanpy development team""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"version = scanpy.__version__.replace("".dirty"", """")",constant,,,,"Constant: version = scanpy.__version__.replace("".dirty"", """")",scverse,scanpy,1.10.1,,,,,"version = scanpy.__version__.replace("".dirty"", """")",version,"scanpy.__version__.replace("".dirty"", """")",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,release = version,constant,,,,Constant: release = version,scverse,scanpy,1.10.1,,,,,release = version,release,version,,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"bibtex_bibfiles = [""references.bib""]",constant,,,,"Constant: bibtex_bibfiles = [""references.bib""]",scverse,scanpy,1.10.1,,,,,"bibtex_bibfiles = [""references.bib""]",bibtex_bibfiles,"[""references.bib""]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"bibtex_reference_style = ""author_year""",constant,,,,"Constant: bibtex_reference_style = ""author_year""",scverse,scanpy,1.10.1,,,,,"bibtex_reference_style = ""author_year""",bibtex_reference_style,"""author_year""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"templates_path = [""_templates""]",constant,,,,"Constant: templates_path = [""_templates""]",scverse,scanpy,1.10.1,,,,,"templates_path = [""_templates""]",templates_path,"[""_templates""]",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"master_doc = ""index""",constant,,,,"Constant: master_doc = ""index""",scverse,scanpy,1.10.1,,,,,"master_doc = ""index""",master_doc,"""index""",,,,,,,,,,,
scverse_scanpy_1.10.1,conf.py,python,"default_role = ""literal""",constant,,,,"Constant: default_role = ""literal""",scverse,scanpy,1.10.1,,,,,"default_role = ""literal""",default_role,"""literal""",,,,,,,,,,,
