filename,ext,element_type,function.name,function.parameters,function.type,embedding,author,repo_name,tag,import,import.name,import.from,import.path,constant,constant.name,constant.value,function.docstring,class.name,method.name,method.parameters,class.field,class.instance_field,method.type,method.decorator,class.base,field.name,field.default
min-deps.py,python,function,min_dep,(req: Requirement),Requirement,Function: min_dep(req: Requirement) -> Requirement,scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
min-deps.py,python,function,extract_min_deps,"(
    dependencies: Iterable[Requirement], *, pyproject
)","Generator[Requirement, None, None]","Function: extract_min_deps(
    dependencies: Iterable[Requirement], *, pyproject
) -> Generator[Requirement, None, None]",scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
min-deps.py,python,function,main,(),,Function: main(),scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
min-deps.py,python,import,,,,Import: argparse,scverse,scanpy,1.10.1,import argparse,argparse,,,,,,,,,,,,,,,,
min-deps.py,python,import,,,,Import: sys,scverse,scanpy,1.10.1,import sys,sys,,,,,,,,,,,,,,,,
min-deps.py,python,import,,,,Import: deque from collections,scverse,scanpy,1.10.1,from collections import deque,deque,collections,,,,,,,,,,,,,,,
min-deps.py,python,import,,,,Import: Path from pathlib,scverse,scanpy,1.10.1,from pathlib import Path,Path,pathlib,,,,,,,,,,,,,,,
min-deps.py,python,import,,,,Import: TYPE_CHECKING from typing,scverse,scanpy,1.10.1,from typing import TYPE_CHECKING,TYPE_CHECKING,typing,,,,,,,,,,,,,,,
min-deps.py,python,local_import,,,,Import: Requirement from packaging.requirements,scverse,scanpy,1.10.1,from packaging.requirements import Requirement,Requirement,packaging.requirements,packaging.requirements,,,,,,,,,,,,,,
min-deps.py,python,local_import,,,,Import: Version from packaging.version,scverse,scanpy,1.10.1,from packaging.version import Version,Version,packaging.version,packaging.version,,,,,,,,,,,,,,
min-deps.py,python,,,,,File: ci\scripts,scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
min-deps.py,python,,,,,Directory: ci\scripts\min-deps.py,scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
conf.py,python,function,setup,(app: Sphinx),,Function: setup(app: Sphinx),scverse,scanpy,1.10.1,,,,,,,,,,,,,,,,,,
conf.py,python,constant,,,,Constant: HERE = Path(__file__).parent,scverse,scanpy,1.10.1,,,,,HERE = Path(__file__).parent,HERE,Path(__file__).parent,,,,,,,,,,,
conf.py,python,constant,,,,Constant: nitpicky = True,scverse,scanpy,1.10.1,,,,,nitpicky = True,nitpicky,True,,,,,,,,,,,
conf.py,python,constant,,,,"Constant: needs_sphinx = ""4.0""",scverse,scanpy,1.10.1,,,,,"needs_sphinx = ""4.0""",needs_sphinx,"""4.0""",,,,,,,,,,,
