id,filename,ext,embedding_no_type,element_type,constant,constant.name,constant.value,embedding,author,repo_name,tag,import,import.from,import.name,function.name,function.parameters,import.path,class.name,method.name,method.parameters,class.field,class.instance_field,method.type,function.type,function.docstring,field.name,class.base,field.default,method.decorator
allenai_scispacy_v0.5.4,setup.py,python,VERSION = {},constant,VERSION = {},VERSION,{},Constant: VERSION = {},allenai,scispacy,v0.5.4,,,,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,setup.py,python,setup from setuptools,import,,,,Import: setup from setuptools,allenai,scispacy,v0.5.4,"from setuptools import setup, find_packages",setuptools,setup,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,setup.py,python,find_packages from setuptools,import,,,,Import: find_packages from setuptools,allenai,scispacy,v0.5.4,"from setuptools import setup, find_packages",setuptools,find_packages,,,,,,,,,,,,,,,
,setup.py,python,,,,,,File: .,allenai,scispacy,v0.5.4,,,,,,,,,,,,,,,,,,
,setup.py,python,,,,,,Directory: setup.py,allenai,scispacy,v0.5.4,,,,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,evaluate_linker.py,python,main(),function,,,,Function: main(),allenai,scispacy,v0.5.4,,,,main,(),,,,,,,,,,,,,
allenai_scispacy_v0.5.4,evaluate_linker.py,python,EVALUATION_FOLDER_PATH = os.path.dirname(os.path.abspath(__file__)),constant,EVALUATION_FOLDER_PATH = os.path.dirname(os.path.abspath(__file__)),EVALUATION_FOLDER_PATH,os.path.dirname(os.path.abspath(__file__)),Constant: EVALUATION_FOLDER_PATH = os.path.dirname(os.path.abspath(__file__)),allenai,scispacy,v0.5.4,,,,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,evaluate_linker.py,python,spacy,import,,,,Import: spacy,allenai,scispacy,v0.5.4,import spacy,,spacy,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,evaluate_linker.py,python,os,import,,,,Import: os,allenai,scispacy,v0.5.4,import os,,os,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,evaluate_linker.py,python,tqdm from tqdm,import,,,,Import: tqdm from tqdm,allenai,scispacy,v0.5.4,from tqdm import tqdm,tqdm,tqdm,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,evaluate_linker.py,python,EntityLinker from scispacy.linking,local_import,,,,Import: EntityLinker from scispacy.linking,allenai,scispacy,v0.5.4,from scispacy.linking import EntityLinker,scispacy.linking,EntityLinker,,,scispacy.linking,,,,,,,,,,,,
allenai_scispacy_v0.5.4,evaluate_linker.py,python,read_full_med_mentions from scispacy.data_util,local_import,,,,Import: read_full_med_mentions from scispacy.data_util,allenai,scispacy,v0.5.4,from scispacy.data_util import read_full_med_mentions,scispacy.data_util,read_full_med_mentions,,,scispacy.data_util,,,,,,,,,,,,
,evaluate_linker.py,python,,,,,,File: evaluation,allenai,scispacy,v0.5.4,,,,,,,,,,,,,,,,,,
,evaluate_linker.py,python,,,,,,Directory: evaluation\evaluate_linker.py,allenai,scispacy,v0.5.4,,,,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,"evaluate_sentence_splitting(model_path: str,
                                data_directory: str,
                                rule_segmenter: bool = False,
                                custom_tokenizer: bool = False,
                                citation_data_path: str = None)",function,,,,"Function: evaluate_sentence_splitting(model_path: str,
                                data_directory: str,
                                rule_segmenter: bool = False,
                                custom_tokenizer: bool = False,
                                citation_data_path: str = None)",allenai,scispacy,v0.5.4,,,,evaluate_sentence_splitting,"(model_path: str,
                                data_directory: str,
                                rule_segmenter: bool = False,
                                custom_tokenizer: bool = False,
                                citation_data_path: str = None)",,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,argparse,import,,,,Import: argparse,allenai,scispacy,v0.5.4,import argparse,,argparse,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,os,import,,,,Import: os,allenai,scispacy,v0.5.4,import os,,os,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,sys,import,,,,Import: sys,allenai,scispacy,v0.5.4,import sys,,sys,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,json,import,,,,Import: json,allenai,scispacy,v0.5.4,import json,,json,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,spacy,import,,,,Import: spacy,allenai,scispacy,v0.5.4,import spacy,,spacy,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,combined_rule_sentence_segmenter from scispacy.custom_sentence_segmenter,local_import,,,,Import: combined_rule_sentence_segmenter from scispacy.custom_sentence_segmenter,allenai,scispacy,v0.5.4,from scispacy.custom_sentence_segmenter import combined_rule_sentence_segmenter,scispacy.custom_sentence_segmenter,combined_rule_sentence_segmenter,,,scispacy.custom_sentence_segmenter,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,remove_new_lines from scispacy.custom_tokenizer,local_import,,,,Import: remove_new_lines from scispacy.custom_tokenizer,allenai,scispacy,v0.5.4,"from scispacy.custom_tokenizer import remove_new_lines, combined_rule_tokenizer",scispacy.custom_tokenizer,remove_new_lines,,,scispacy.custom_tokenizer,,,,,,,,,,,,
allenai_scispacy_v0.5.4,sentence_splitting_evaluation.py,python,combined_rule_tokenizer from scispacy.custom_tokenizer,local_import,,,,Import: combined_rule_tokenizer from scispacy.custom_tokenizer,allenai,scispacy,v0.5.4,"from scispacy.custom_tokenizer import remove_new_lines, combined_rule_tokenizer",scispacy.custom_tokenizer,combined_rule_tokenizer,,,scispacy.custom_tokenizer,,,,,,,,,,,,
,sentence_splitting_evaluation.py,python,,,,,,File: evaluation,allenai,scispacy,v0.5.4,,,,,,,,,,,,,,,,,,
,sentence_splitting_evaluation.py,python,,,,,,Directory: evaluation\sentence_splitting_evaluation.py,allenai,scispacy,v0.5.4,,,,,,,,,,,,,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,[instance] AbbreviationDetector.matcher = Matcher(nlp.vocab),class_field,,,,Class field: [instance] AbbreviationDetector.matcher = Matcher(nlp.vocab),allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,__init__,"(
        self,
        nlp: Language,
        name: str = ""abbreviation_detector"",
        make_serializable: bool = False,
    )",self.matcher = Matcher(nlp.vocab),self.matcher = Matcher(nlp.vocab),,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,"[instance] AbbreviationDetector.matcher.add(""parenthesis"", [[{""ORTH"": ""(""}, {""OP"": ""+""}, {""ORTH"": "")""}]])",class_field,,,,"Class field: [instance] AbbreviationDetector.matcher.add(""parenthesis"", [[{""ORTH"": ""(""}, {""OP"": ""+""}, {""ORTH"": "")""}]])",allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,__init__,"(
        self,
        nlp: Language,
        name: str = ""abbreviation_detector"",
        make_serializable: bool = False,
    )","self.matcher.add(""parenthesis"", [[{""ORTH"": ""(""}, {""OP"": ""+""}, {""ORTH"": "")""}]])","self.matcher.add(""parenthesis"", [[{""ORTH"": ""(""}, {""OP"": ""+""}, {""ORTH"": "")""}]])",,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,[instance] AbbreviationDetector.make_serializable = make_serializable,class_field,,,,Class field: [instance] AbbreviationDetector.make_serializable = make_serializable,allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,__init__,"(
        self,
        nlp: Language,
        name: str = ""abbreviation_detector"",
        make_serializable: bool = False,
    )",self.make_serializable = make_serializable,self.make_serializable = make_serializable,,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,[instance] AbbreviationDetector.global_matcher = Matcher(nlp.vocab),class_field,,,,Class field: [instance] AbbreviationDetector.global_matcher = Matcher(nlp.vocab),allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,__init__,"(
        self,
        nlp: Language,
        name: str = ""abbreviation_detector"",
        make_serializable: bool = False,
    )",self.global_matcher = Matcher(nlp.vocab),self.global_matcher = Matcher(nlp.vocab),,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,"AbbreviationDetector.__init__(
        self,
        nlp: Language,
        name: str = ""abbreviation_detector"",
        make_serializable: bool = False,
    ) -> None",class_method,,,,"Class method: AbbreviationDetector.__init__(
        self,
        nlp: Language,
        name: str = ""abbreviation_detector"",
        make_serializable: bool = False,
    ) -> None",allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,__init__,"(
        self,
        nlp: Language,
        name: str = ""abbreviation_detector"",
        make_serializable: bool = False,
    )",,,None,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,"AbbreviationDetector.find(self, span: Span, doc: Doc) -> Tuple[Span, Set[Span]]",class_method,,,,"Class method: AbbreviationDetector.find(self, span: Span, doc: Doc) -> Tuple[Span, Set[Span]]",allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,find,"(self, span: Span, doc: Doc)",,,"Tuple[Span, Set[Span]]",,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,"AbbreviationDetector.__call__(self, doc: Doc) -> Doc",class_method,,,,"Class method: AbbreviationDetector.__call__(self, doc: Doc) -> Doc",allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,__call__,"(self, doc: Doc)",,,Doc,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,"AbbreviationDetector.find_matches_for(
        self, filtered: List[Tuple[Span, Span]], doc: Doc
    ) -> List[Tuple[Span, Set[Span]]]",class_method,,,,"Class method: AbbreviationDetector.find_matches_for(
        self, filtered: List[Tuple[Span, Span]], doc: Doc
    ) -> List[Tuple[Span, Set[Span]]]",allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,find_matches_for,"(
        self, filtered: List[Tuple[Span, Span]], doc: Doc
    )",,,"List[Tuple[Span, Set[Span]]]",,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,"AbbreviationDetector.make_short_form_serializable(self, abbreviation: Span)",class_method,,,,"Class method: AbbreviationDetector.make_short_form_serializable(self, abbreviation: Span)",allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,make_short_form_serializable,"(self, abbreviation: Span)",,,,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,AbbreviationDetector,class,,,,Class: AbbreviationDetector,allenai,scispacy,v0.5.4,,,,,,,AbbreviationDetector,,,,,,,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,"find_abbreviation(
    long_form_candidate: Span, short_form_candidate: Span
) -> Tuple[Span, Optional[Span]]",function,,,,"Function: find_abbreviation(
    long_form_candidate: Span, short_form_candidate: Span
) -> Tuple[Span, Optional[Span]]",allenai,scispacy,v0.5.4,,,,find_abbreviation,"(
    long_form_candidate: Span, short_form_candidate: Span
)",,,,,,,,"Tuple[Span, Optional[Span]]",,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,span_contains_unbalanced_parentheses(span: Span) -> bool,function,,,,Function: span_contains_unbalanced_parentheses(span: Span) -> bool,allenai,scispacy,v0.5.4,,,,span_contains_unbalanced_parentheses,(span: Span),,,,,,,,bool,,,,,
allenai_scispacy_v0.5.4,abbreviation.py,python,"filter_matches(
    matcher_output: List[Tuple[int, int, int]], doc: Doc
) -> List[Tuple[Span, Span]]",function,,,,"Function: filter_matches(
    matcher_output: List[Tuple[int, int, int]], doc: Doc
) -> List[Tuple[Span, Span]]",allenai,scispacy,v0.5.4,,,,filter_matches,"(
    matcher_output: List[Tuple[int, int, int]], doc: Doc
)",,,,,,,,"List[Tuple[Span, Span]]","# Filter into two cases:",,,,
