keyword,quality_attribute,matched_words,nunique,total_matched
abstract,integrability,"['abstract' 'abstraction' 'abstractmethods' 'abstracted' 'abstracting'
 'abstractions' 'abstractasyncwriter' 'abstract-declarator' 'abstracts'
 'abstractly' 'abstractattribute' 'abstractstate' 'abstractfooreader'
 'abstractvariables' 'abstractintepreter' 'abstractbasicereader'
 'abstractscopemap' 'abstractmethod' 'abstractfunction'
 'abstracttypewriter' 'abstractcallsite' 'abstract-declarators'
 'abstract-class' 'abstractscopeslist' 'abstractfilesystem'
 'abstractinterpreter' 'abstractlatticefunction' 'abstractfoowriter'
 'abstractcallsites' 'abstractdependencegraphbuilder'
 'abstractconditionaloperator' 'abstractbasicwriter'
 'abstract-pack-declarator' 'abstracttypereader'
 'abstractstoragememoryregion' 'abstractsocket' 'abstractstorageregion'
 'abstractresult' 'abstractness' 'abstract-interpretation'
 'abstractbasicreader' 'abstract-pack-declarators' 'abstractconverter'
 'abstractref' 'abstractnoreturnmethod' 'abstracttemplate']",46,2404
abstract,modifiability,"['abstract' 'abstraction' 'abstractmethods' 'abstracted' 'abstracting'
 'abstractions' 'abstractasyncwriter' 'abstract-declarator' 'abstracts'
 'abstractly' 'abstractattribute' 'abstractstate' 'abstractfooreader'
 'abstractvariables' 'abstractintepreter' 'abstractbasicereader'
 'abstractscopemap' 'abstractmethod' 'abstractfunction'
 'abstracttypewriter' 'abstractcallsite' 'abstract-declarators'
 'abstract-class' 'abstractscopeslist' 'abstractfilesystem'
 'abstractinterpreter' 'abstractlatticefunction' 'abstractfoowriter'
 'abstractcallsites' 'abstractdependencegraphbuilder'
 'abstractconditionaloperator' 'abstractbasicwriter'
 'abstract-pack-declarator' 'abstracttypereader'
 'abstractstoragememoryregion' 'abstractsocket' 'abstractstorageregion'
 'abstractresult' 'abstractness' 'abstract-interpretation'
 'abstractbasicreader' 'abstract-pack-declarators' 'abstractconverter'
 'abstractref' 'abstractnoreturnmethod' 'abstracttemplate']",46,2404
access,security,"['access' 'accessed' 'accesses' 'accessor' 'accessible' 'accessors'
 'accessing' 'accession' 'accessspecdecl' 'accessibility'
 'access-specifier' 'access-external-data' 'accesspathname'
 'accessedentity' 'access-token-for-the-command-line' 'access-control'
 'accesscheckingsfinae' 'accessspecifier' 'accesssize' 'access-like'
 'access-from-files' 'accessty' 'accessfn' 'access-checking' 'accessable'
 'access-group' 'accessible-color-cycles' 'accessbytes' 'accesstype'
 'access-control-allow-credentials' 'access-iterator-type' 'access-method'
 'accesssets' 'accesscontrol' 'accessedbytesmap' 'accesschain'
 'accessstrideinfo' 'accessi' 'accessalignment' 'accessiswrite'
 'accesskind' 'accessiblecolorschemes' 'access-to-top' 'accessprotected'
 'accessiblity' 'accessories' 'accessspec' 'accessing-unaligned-memory'
 'access-qualified' 'access-control-allow-origin' 'accessanalysis'
 'accessoffset' 'accessornames' 'accessmodifieroffset' 'accesskey'
 'accessqualifier' 'accessandoverload' 'accesstobase' 'accessedlocs'
 'accessinfo' 'accessedloc' 'accessing-the-floating-point-environment'
 'accessspecdeclmatcher' 'access-name' 'access-password'
 'access-control-allow-headers' 'accessorsforpublic'
 'access-control-expose-headers' 'access-control-allow-methods'
 'accessing-entry-information-using-rdataframe' 'accessattrs'
 'accessing-attributes-of-distributed-rdataframe-instance-after-filter-and-define-are-called'
 'accessdata' 'access-roomcstudy-genpardataset'
 'accessing-tref-data-from-multiple-threads' 'accesssymboltable'
 'accesspath' 'access-from-command-shell' 'accessing-gendata-in-roofit'
 'access-after-delete' 'access-elements-from-xml-fragment-by-id'
 'accessible-pygments' 'access-to-module-attributes' 'accessions'
 'accesstrackingstore' 'accessing-' 'accessability' 'accessdenied'
 'access-is-de']",89,9954
accid,safety,"['accidentally' 'accident' 'accidents' 'accidental' 'accidently'
 'accidentially' 'accidentaly']",7,312
adapt,energy efficiency,"['adapted' 'adapter' 'adaptor' 'adapters' 'adapts' 'adapt' 'adaptation'
 'adapting' 'adaptertrimmer' 'adapter-trimming' 'adaptors' 'adapterseq'
 'adaptators' 'adaptor-sequences-be-trimmed' 'adapter-containing'
 'adaptor-trimmed' 'adapter-sequences-' 'adapterstrim' 'adaptase'
 'adapterlist' 'adapter-contaminated' 'adaptive' 'adaption' 'adaptative'
 'adaptiveintegratormultidim' 'adaptivesingular' 'adaptively'
 'adaptiveintegration' 'adaptstartofline' 'adaptable' 'adaptiva'
 'adaptability' 'adaptivespeed' 'adaptive-integration' 'adaptivegauss'
 'adaptions' 'adapting-to-real-world-data']",37,1960
adapt,integrability,"['adapted' 'adapter' 'adaptor' 'adapters' 'adapts' 'adapt' 'adaptation'
 'adapting' 'adaptertrimmer' 'adapter-trimming' 'adaptors' 'adapterseq'
 'adaptators' 'adaptor-sequences-be-trimmed' 'adapter-containing'
 'adaptor-trimmed' 'adapter-sequences-' 'adapterstrim' 'adaptase'
 'adapterlist' 'adapter-contaminated' 'adaptive' 'adaption' 'adaptative'
 'adaptiveintegratormultidim' 'adaptivesingular' 'adaptively'
 'adaptiveintegration' 'adaptstartofline' 'adaptable' 'adaptiva'
 'adaptability' 'adaptivespeed' 'adaptive-integration' 'adaptivegauss'
 'adaptions' 'adapting-to-real-world-data']",37,1960
adapt,interoperability,"['adapted' 'adapter' 'adaptor' 'adapters' 'adapts' 'adapt' 'adaptation'
 'adapting' 'adaptertrimmer' 'adapter-trimming' 'adaptors' 'adapterseq'
 'adaptators' 'adaptor-sequences-be-trimmed' 'adapter-containing'
 'adaptor-trimmed' 'adapter-sequences-' 'adapterstrim' 'adaptase'
 'adapterlist' 'adapter-contaminated' 'adaptive' 'adaption' 'adaptative'
 'adaptiveintegratormultidim' 'adaptivesingular' 'adaptively'
 'adaptiveintegration' 'adaptstartofline' 'adaptable' 'adaptiva'
 'adaptability' 'adaptivespeed' 'adaptive-integration' 'adaptivegauss'
 'adaptions' 'adapting-to-real-world-data']",37,1959
adapt,modifiability,"['adapted' 'adapter' 'adaptor' 'adapters' 'adapts' 'adapt' 'adaptation'
 'adapting' 'adaptertrimmer' 'adapter-trimming' 'adaptors' 'adapterseq'
 'adaptators' 'adaptor-sequences-be-trimmed' 'adapter-containing'
 'adaptor-trimmed' 'adapter-sequences-' 'adapterstrim' 'adaptase'
 'adapterlist' 'adapter-contaminated' 'adaptive' 'adaption' 'adaptative'
 'adaptiveintegratormultidim' 'adaptivesingular' 'adaptively'
 'adaptiveintegration' 'adaptstartofline' 'adaptable' 'adaptiva'
 'adaptability' 'adaptivespeed' 'adaptive-integration' 'adaptivegauss'
 'adaptions' 'adapting-to-real-world-data']",37,1958
adversar,security,['adversarial'],1,1
aesthet,usability,['aesthetics' 'aesthetically' 'aesthetic' 'aesthetic-only'],4,25
